name,jobtitle,groupname,employeecount,grouping_level
Finance,Accountant,Executive General and Administration,2,Detail
Finance,Accountant,,2,Subtotal by Job Title
Finance,Accounts Manager,Executive General and Administration,1,Detail
Finance,Accounts Manager,,1,Subtotal by Job Title
Finance,Accounts Payable Specialist,Executive General and Administration,2,Detail
Finance,Accounts Payable Specialist,,2,Subtotal by Job Title
Finance,Accounts Receivable Specialist,Executive General and Administration,3,Detail
Finance,Accounts Receivable Specialist,,3,Subtotal by Job Title
Finance,Assistant to the Chief Financial Officer,Executive General and Administration,1,Detail
Finance,Assistant to the Chief Financial Officer,,1,Subtotal by Job Title
Finance,Finance Manager,Executive General and Administration,1,Detail
Finance,Finance Manager,,1,Subtotal by Job Title
Finance,,,10,Subtotal by Department
Production Control,Master Scheduler,Manufacturing,1,Detail
Production Control,Master Scheduler,,1,Subtotal by Job Title
Production Control,Production Control Manager,Manufacturing,1,Detail
Production Control,Production Control Manager,,1,Subtotal by Job Title
Production Control,Scheduling Assistant,Manufacturing,4,Detail
Production Control,Scheduling Assistant,,4,Subtotal by Job Title
Production Control,,,6,Subtotal by Department
,,,16,Grand Total
