table_name,table_schema
employee,humanresources
employeedepartmenthistory,humanresources
employeenameview,humanresources
employeepayhistory,humanresources
vemployee,humanresources
vemployeedepartment,humanresources
vemployeedepartmenthistory,humanresources
salesorderdetail,sales
salesorderheader,sales
salesorderheadersalesreason,sales
salesperson,sales
salespersonquotahistory,sales
salesreason,sales
salestaxrate,sales
salesterritory,sales
salesterritoryhistory,sales
vsalesperson,sales
vsalespersonsalesbyfiscalyears,sales
vsalespersonsalesbyfiscalyearsdata,sales
