table_schema,table_name
humanresources,department
humanresources,employee
humanresources,employeedepartmenthistory
humanresources,employeenameview
humanresources,employeepayhistory
humanresources,jobcandidate
humanresources,shift
humanresources,vemployee
humanresources,vemployeedepartment
humanresources,vemployeedepartmenthistory
humanresources,vjobcandidate
humanresources,vjobcandidateeducation
humanresources,vjobcandidateemployment
person,address
person,addresstype
person,businessentity
person,businessentityaddress
person,businessentitycontact
person,contacttype
person,countryregion
person,emailaddress
person,password
person,person
person,personphone
person,phonenumbertype
person,stateprovince
person,vadditionalcontactinfo
production,billofmaterials
production,culture
production,document
production,illustration
production,location
production,product
production,productcategory
production,productcosthistory
production,productdescription
production,productdocument
production,productinventory
production,productlistpricehistory
production,productmodel
production,productmodelillustration
production,productmodelproductdescriptionculture
production,productphoto
production,productproductphoto
production,productreview
production,productsubcategory
production,scrapreason
production,transactionhistory
production,transactionhistoryarchive
production,unitmeasure
production,vproductmodelcatalogdescription
production,vproductmodelinstructions
production,workorder
production,workorderrouting
sales,countryregioncurrency
sales,creditcard
sales,currency
sales,currencyrate
sales,customer
sales,personcreditcard
sales,salesorderdetail
sales,salesorderheader
sales,salesorderheadersalesreason
sales,salesperson
sales,salespersonquotahistory
sales,salesreason
sales,salestaxrate
sales,salesterritory
sales,salesterritoryhistory
sales,shoppingcartitem
sales,specialoffer
sales,specialofferproduct
sales,store
sales,vindividualcustomer
sales,vpersondemographics
sales,vsalesperson
sales,vsalespersonsalesbyfiscalyears
sales,vsalespersonsalesbyfiscalyearsdata
sales,vstorewithaddresses
sales,vstorewithcontacts
sales,vstorewithdemographics
