businessentityid,jobtitle,vacationhours
47,Production Supervisor - WC10,65
134,Production Supervisor - WC20,40
166,Production Supervisor - WC30,68
192,Production Supervisor - WC40,71
160,Production Supervisor - WC45,74
108,Production Supervisor - WC50,77
27,Production Supervisor - WC60,80
48,Production Technician - WC10,83
139,Production Technician - WC20,0
172,Production Technician - WC30,22
194,Production Technician - WC40,47
164,Production Technician - WC45,73
97,Production Technician - WC50,0
30,Production Technician - WC60,14
260,Purchasing Assistant,50
250,Purchasing Manager,49
211,Quality Assurance Manager,80
212,Quality Assurance Supervisor,81
216,Quality Assurance Technician,82
240,Recruiter,49
8,Research and Development Engineer,62
10,Research and Development Manager,16
280,Sales Representative,22
224,Scheduling Assistant,45
14,Senior Design Engineer,3
11,Senior Tool Designer,7
125,Shipping and Receiving Clerk,94
121,Shipping and Receiving Supervisor,93
126,Stocker,96
13,Tool Designer,8
2,Vice President of Engineering,1
25,Vice President of Production,64
273,Vice President of Sales,10
