table_schema,table_name
production,product
production,productcategory
production,productcosthistory
production,productdescription
production,productdocument
production,productinventory
production,productlistpricehistory
production,productmodel
production,productmodelillustration
production,productmodelproductdescriptionculture
production,productphoto
production,productproductphoto
production,productreview
production,productsubcategory
production,vproductmodelcatalogdescription
production,vproductmodelinstructions
purchasing,productvendor
sales,salesorderdetail
sales,salesorderheader
sales,salesorderheadersalesreason
sales,specialofferproduct
