name,jobtitle,groupname,name_grouping,jobtitle_grouping,groupname_grouping,employeecount
Finance,Accountant,Executive General and Administration,0,0,0,2
Finance,Accounts Manager,Executive General and Administration,0,0,0,1
Finance,Accounts Payable Specialist,Executive General and Administration,0,0,0,2
Finance,Accounts Receivable Specialist,Executive General and Administration,0,0,0,3
Finance,Assistant to the Chief Financial Officer,Executive General and Administration,0,0,0,1
Finance,Finance Manager,Executive General and Administration,0,0,0,1
Finance,,Executive General and Administration,0,1,0,10
,,Executive General and Administration,1,1,0,10
Production Control,Master Scheduler,Manufacturing,0,0,0,1
Production Control,Production Control Manager,Manufacturing,0,0,0,1
Production Control,Scheduling Assistant,Manufacturing,0,0,0,4
Production Control,,Manufacturing,0,1,0,6
,,Manufacturing,1,1,0,6
,,,1,1,1,16
