productmodelid,productmodelname,product_count,max_listprice,avg_listprice,ratio,min_listprice
8,LL Mountain Frame,10,264.0500,256.92,1.03,249.7900
23,Mountain-500,10,564.9900,552.49,1.02,539.9900
15,ML Mountain Frame-W,5,364.0900,361.02,1.01,348.7600
20,Mountain-200,6,2319.9900,2307.49,1.01,2294.9900
5,HL Mountain Frame,10,1364.5000,1357.05,1.01,1349.6000
30,Road-650,12,782.9900,782.99,1.00,782.9900
21,Mountain-300,4,1079.9900,1079.99,1.00,1079.9900
3,Full-Finger Gloves,3,37.9900,37.99,1.00,37.9900
17,ML Road Frame-W,5,594.8300,594.83,1.00,594.8300
37,Women's Mountain Shorts,3,69.9900,69.99,1.00,69.9900
28,Road-450,5,1457.9900,1457.99,1.00,1457.9900
29,Road-550-W,5,1120.4900,1120.49,1.00,1120.4900
4,Half-Finger Gloves,3,24.4900,24.49,1.00,24.4900
34,Touring-1000,8,2384.0700,2384.07,1.00,2384.0700
10,LL Touring Frame,10,333.4200,333.42,1.00,333.4200
35,Touring-2000,4,1214.8500,1214.85,1.00,1214.8500
22,Mountain-400-W,4,769.4900,769.49,1.00,769.4900
36,Touring-3000,10,742.3500,742.35,1.00,742.3500
31,Road-750,4,539.9900,539.99,1.00,539.9900
14,ML Mountain Frame,3,348.7600,348.76,1.00,348.7600
13,Men's Sports Shorts,4,59.9900,59.99,1.00,59.9900
16,ML Road Frame,5,594.8300,594.83,1.00,594.8300
32,Short-Sleeve Classic Jersey,4,53.9900,53.99,1.00,53.9900
7,HL Touring Frame,8,1003.9100,1003.91,1.00,1003.9100
38,Women's Tights,3,74.9900,74.99,1.00,74.9900
12,Men's Bib-Shorts,3,89.9900,89.99,1.00,89.9900
24,Racing Socks,2,8.9900,8.99,1.00,8.9900
25,Road-150,5,3578.2700,3578.27,1.00,3578.2700
33,Sport-100,3,34.9900,34.99,1.00,34.9900
1,Classic Vest,3,63.5000,63.50,1.00,63.5000
18,Mountain Bike Socks,2,9.5000,9.50,1.00,9.5000
27,Road-350-W,4,1700.9900,1700.99,1.00,1700.9900
6,HL Road Frame,11,1431.5000,1431.50,1.00,1431.5000
11,Long-Sleeve Logo Jersey,4,49.9900,49.99,1.00,49.9900
9,LL Road Frame,12,337.2200,337.22,1.00,337.2200
26,Road-250,8,2443.3500,2443.35,1.00,2443.3500
19,Mountain-100,8,3399.9900,3387.49,1.00,3374.9900
