department,lastname,rate,hiredate,lasthiredatebydeptrate
Document Control,Document Control Assistant,10.2500,2009-01-22,2009-02-09
Document Control,Document Control Assistant,10.2500,2009-02-09,2009-02-09
Document Control,Control Specialist,16.8269,2008-12-16,2009-03-06
Document Control,Control Specialist,16.8269,2009-03-06,2009-03-06
Document Control,Document Control Manager,17.7885,2009-01-04,2009-01-04
Information Services,Application Specialist,27.4038,2008-12-23,2009-02-16
Information Services,Application Specialist,27.4038,2009-02-16,2009-02-16
Information Services,Application Specialist,27.4038,2009-02-03,2009-02-16
Information Services,Application Specialist,27.4038,2009-01-11,2009-02-16
Information Services,Network Administrator,32.4519,2008-12-04,2009-02-23
Information Services,Network Administrator,32.4519,2009-02-23,2009-02-23
Information Services,Database Administrator,38.4615,2009-01-17,2009-01-22
Information Services,Database Administrator,38.4615,2009-01-22,2009-01-22
Information Services,Network Manager,39.6635,2009-02-04,2009-02-04
Information Services,Information Services Manager,50.4808,2008-12-11,2008-12-11
