businessentityid,sales_year,quarter,salesquota,diff_from_first_quarter,diff_from_last_quarter
274,2022,2,28000.0000,,-21000.0000
274,2022,3,7000.0000,-21000.0000,84000.0000
274,2022,4,91000.0000,84000.0000,
274,2023,1,140000.0000,,-70000.0000
274,2023,2,70000.0000,-70000.0000,84000.0000
274,2023,3,154000.0000,84000.0000,-47000.0000
274,2023,4,107000.0000,-47000.0000,
274,2024,1,58000.0000,,205000.0000
274,2024,2,263000.0000,205000.0000,-147000.0000
274,2024,3,116000.0000,-147000.0000,-32000.0000
274,2024,4,84000.0000,-32000.0000,
274,2025,1,187000.0000,,
275,2022,2,367000.0000,,189000.0000
275,2022,3,556000.0000,189000.0000,-54000.0000
275,2022,4,502000.0000,-54000.0000,
275,2023,1,550000.0000,,879000.0000
275,2023,2,1429000.0000,879000.0000,-105000.0000
275,2023,3,1324000.0000,-105000.0000,-595000.0000
275,2023,4,729000.0000,-595000.0000,
275,2024,1,1194000.0000,,381000.0000
275,2024,2,1575000.0000,381000.0000,-357000.0000
275,2024,3,1218000.0000,-357000.0000,-369000.0000
275,2024,4,849000.0000,-369000.0000,
275,2025,1,869000.0000,,
