name,jobtitle,grouping_level,employee_count
Finance,Accountant,Department + JobTitle,2
Finance,Accounts Manager,Department + JobTitle,1
Finance,Accounts Payable Specialist,Department + JobTitle,2
Finance,Accounts Receivable Specialist,Department + JobTitle,3
Finance,Assistant to the Chief Financial Officer,Department + JobTitle,1
Finance,Chief Financial Officer,Department + JobTitle,1
Finance,Finance Manager,Department + JobTitle,1
Finance,,Grand Total,11
Production Control,Master Scheduler,Department + JobTitle,1
Production Control,Production Control Manager,Department + JobTitle,1
Production Control,Scheduling Assistant,Department + JobTitle,4
Production Control,,Grand Total,6
,,Grand Total,17
