column_name,data_type
id,integer
businessentityid,integer
persontype,character
namestyle,boolean
title,character varying
firstname,character varying
middlename,character varying
lastname,character varying
suffix,character varying
emailpromotion,integer
additionalcontactinfo,xml
demographics,xml
rowguid,uuid
modifieddate,timestamp without time zone
id,integer
productid,integer
name,character varying
productnumber,character varying
makeflag,boolean
finishedgoodsflag,boolean
color,character varying
safetystocklevel,smallint
reorderpoint,smallint
standardcost,numeric
listprice,numeric
size,character varying
sizeunitmeasurecode,character
weightunitmeasurecode,character
weight,numeric
daystomanufacture,integer
productline,character
class,character
style,character
productsubcategoryid,integer
productmodelid,integer
sellstartdate,timestamp without time zone
sellenddate,timestamp without time zone
discontinueddate,timestamp without time zone
rowguid,uuid
modifieddate,timestamp without time zone
