column_name,data_type
id,integer
departmentid,integer
name,character varying
groupname,character varying
modifieddate,timestamp without time zone
id,integer
businessentityid,integer
nationalidnumber,character varying
loginid,character varying
jobtitle,character varying
birthdate,date
maritalstatus,character
gender,character
hiredate,date
salariedflag,boolean
vacationhours,smallint
sickleavehours,smallint
currentflag,boolean
rowguid,uuid
modifieddate,timestamp without time zone
organizationnode,character varying
id,integer
businessentityid,integer
departmentid,smallint
shiftid,smallint
startdate,date
enddate,date
modifieddate,timestamp without time zone
id,integer
businessentityid,integer
ratechangedate,timestamp without time zone
rate,numeric
payfrequency,smallint
modifieddate,timestamp without time zone
id,integer
jobcandidateid,integer
businessentityid,integer
resume,xml
modifieddate,timestamp without time zone
id,integer
shiftid,integer
name,character varying
starttime,time without time zone
endtime,time without time zone
modifieddate,timestamp without time zone
departmentid,integer
name,character varying
groupname,character varying
modifieddate,timestamp without time zone
businessentityid,integer
nationalidnumber,character varying
loginid,character varying
jobtitle,character varying
birthdate,date
maritalstatus,character
gender,character
hiredate,date
salariedflag,boolean
vacationhours,smallint
sickleavehours,smallint
currentflag,boolean
rowguid,uuid
modifieddate,timestamp without time zone
organizationnode,character varying
businessentityid,integer
departmentid,smallint
shiftid,smallint
startdate,date
enddate,date
modifieddate,timestamp without time zone
businessentityid,integer
lastname,text
businessentityid,integer
ratechangedate,timestamp without time zone
rate,numeric
payfrequency,smallint
modifieddate,timestamp without time zone
jobcandidateid,integer
businessentityid,integer
resume,xml
modifieddate,timestamp without time zone
shiftid,integer
name,character varying
starttime,time without time zone
endtime,time without time zone
modifieddate,timestamp without time zone
businessentityid,integer
title,character varying
firstname,character varying
middlename,character varying
lastname,character varying
suffix,character varying
jobtitle,character varying
phonenumber,character varying
phonenumbertype,character varying
emailaddress,character varying
emailpromotion,integer
addressline1,character varying
addressline2,character varying
city,character varying
stateprovincename,character varying
postalcode,character varying
countryregionname,character varying
additionalcontactinfo,xml
businessentityid,integer
title,character varying
firstname,character varying
middlename,character varying
lastname,character varying
suffix,character varying
jobtitle,character varying
department,character varying
groupname,character varying
startdate,date
businessentityid,integer
title,character varying
firstname,character varying
middlename,character varying
lastname,character varying
suffix,character varying
shift,character varying
department,character varying
groupname,character varying
startdate,date
enddate,date
jobcandidateid,integer
businessentityid,integer
Name.Prefix,character varying
Name.First,character varying
Name.Middle,character varying
Name.Last,character varying
Name.Suffix,character varying
Skills,character varying
Addr.Type,character varying
Addr.Loc.CountryRegion,character varying
Addr.Loc.State,character varying
Addr.Loc.City,character varying
Addr.PostalCode,character varying
EMail,character varying
WebSite,character varying
modifieddate,timestamp without time zone
jobcandidateid,integer
Edu.Level,character varying
Edu.StartDate,date
Edu.EndDate,date
Edu.Degree,character varying
Edu.Major,character varying
Edu.Minor,character varying
Edu.GPA,character varying
Edu.GPAScale,character varying
Edu.School,character varying
Edu.Loc.CountryRegion,character varying
Edu.Loc.State,character varying
Edu.Loc.City,character varying
jobcandidateid,integer
Emp.StartDate,date
Emp.EndDate,date
Emp.OrgName,character varying
Emp.JobTitle,character varying
Emp.Responsibility,character varying
Emp.FunctionCategory,character varying
Emp.IndustryCategory,character varying
Emp.Loc.CountryRegion,character varying
Emp.Loc.State,character varying
Emp.Loc.City,character varying
