product_model_name,product_count,max_list_price,avg_list_price,max_to_avg_ratio
LL Mountain Frame,10,264.0500,256.9200000000000000,1.03
Mountain-500,10,564.9900,552.4900000000000000,1.02
ML Mountain Frame-W,5,364.0900,361.0240000000000000,1.01
HL Mountain Frame,10,1364.5000,1357.0500000000000000,1.01
Mountain-200,6,2319.9900,2307.4900000000000000,1.01
LL Mountain Handlebars,1,44.5400,44.5400000000000000,1.00
ML Mountain Seat/Saddle 2,1,39.1400,39.1400000000000000,1.00
LL Road Pedal,1,40.4900,40.4900000000000000,1.00
ML Road Pedal,1,62.0900,62.0900000000000000,1.00
HL Crankset,1,404.9900,404.9900000000000000,1.00
Patch kit,1,2.2900,2.2900000000000000,1.00
Cable Lock,1,25.0000,25.0000000000000000,1.00
ML Headset,1,102.2900,102.2900000000000000,1.00
HL Bottom Bracket,1,121.4900,121.4900000000000000,1.00
HL Road Pedal,1,80.9900,80.9900000000000000,1.00
LL Headset,1,34.2000,34.2000000000000000,1.00
Mountain-400-W,4,769.4900,769.4900000000000000,1.00
Mountain Tire Tube,1,4.9900,4.9900000000000000,1.00
ML Touring Seat/Saddle,1,39.1400,39.1400000000000000,1.00
Taillight,1,13.9900,13.9900000000000000,1.00
