productmodelid,product_model_name,product_count,max_list_price,min_list_price,avg_list_price,twice_avg_list_price
9,LL Road Frame,12,337.2200,337.2200,337.2200000000000000,674.44
30,Road-650,12,782.9900,782.9900,782.9900000000000000,1565.98
6,HL Road Frame,11,1431.5000,1431.5000,1431.5000000000000000,2863.00
8,LL Mountain Frame,10,264.0500,249.7900,256.9200000000000000,513.84
5,HL Mountain Frame,10,1364.5000,1349.6000,1357.0500000000000000,2714.10
10,LL Touring Frame,10,333.4200,333.4200,333.4200000000000000,666.84
23,Mountain-500,10,564.9900,539.9900,552.4900000000000000,1104.98
36,Touring-3000,10,742.3500,742.3500,742.3500000000000000,1484.70
34,Touring-1000,8,2384.0700,2384.0700,2384.0700000000000000,4768.14
26,Road-250,8,2443.3500,2443.3500,2443.3500000000000000,4886.70
19,Mountain-100,8,3399.9900,3374.9900,3387.4900000000000000,6774.98
7,HL Touring Frame,8,1003.9100,1003.9100,1003.9100000000000000,2007.82
20,Mountain-200,6,2319.9900,2294.9900,2307.4900000000000000,4614.98
29,Road-550-W,5,1120.4900,1120.4900,1120.4900000000000000,2240.98
17,ML Road Frame-W,5,594.8300,594.8300,594.8300000000000000,1189.66
28,Road-450,5,1457.9900,1457.9900,1457.9900000000000000,2915.98
25,Road-150,5,3578.2700,3578.2700,3578.2700000000000000,7156.54
16,ML Road Frame,5,594.8300,594.8300,594.8300000000000000,1189.66
15,ML Mountain Frame-W,5,364.0900,348.7600,361.0240000000000000,722.05
35,Touring-2000,4,1214.8500,1214.8500,1214.8500000000000000,2429.70
