productid,name,productnumber,makeflag,finishedgoodsflag,color,safetystocklevel,reorderpoint,standardcost,listprice,size,sizeunitmeasurecode,weightunitmeasurecode,weight,daystomanufacture,productline,class,style,productsubcategoryid,productmodelid,sellstartdate,sellenddate,discontinueddate,rowguid,modifieddate,salesorderid,salesorderdetailid,carriertrackingnumber,orderqty,specialofferid,unitprice,unitpricediscount
,Pinch Bolt,PB-6109,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 2,LN-5400,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Paint - Yellow,PA-823Y,False,False,,60,45,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 3,LN-6320,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 12,HN-3816,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Head Tube,HT-8019,True,False,,800,600,0.0000,0.0000,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Lock Nut 11,LJ-9161,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,ML Road Seat Assembly,SA-R430,True,False,,500,375,108.9900,147.1400,,,,,1,,M ,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 19,HN-9168,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Metal Sheet 5,MS-2341,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Touring End Caps,EC-T209,True,False,,1000,750,0.0000,0.0000,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,Headlights - Dual-Beam,LT-H902,False,True,,4,3,14.4334,34.9900,,,,,0,R ,,,33.0,109.0,2023-05-30,2024-05-28,,,,,,,,,,
,Thin-Jam Hex Nut 9,HJ-1213,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,External Lock Washer 9,LE-1201,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 7,HN-1224,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Hex Nut 12,HJ-9080,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Internal Lock Washer 9,LI-1201,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 1,LN-4400,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 22,HN-3410,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,"HL Road Frame - Red, 58",FR-R92R-58,True,True,Red,500,375,1059.3100,1431.5000,58,CM ,LB ,2.24,1,R ,H ,U ,14.0,6.0,2019-04-30,,,,,,,,,,,
,LL Spindle/Axle,SD-2342,False,False,,500,375,0.0000,0.0000,,,,,0,,L ,,,,2019-04-30,,,,,,,,,,,
,"ML Road Frame-W - Yellow, 42",FR-R72Y-42,True,True,Yellow,500,375,360.9428,594.8300,42,CM ,LB ,2.26,1,R ,M ,W ,14.0,17.0,2023-05-30,,,,,,,,,,,
,HL Shell,SH-9312,False,False,,800,600,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,ML Mountain Rim,RM-M692,False,False,,800,600,0.0000,0.0000,,,G  ,450.00,0,,M ,,,,2019-04-30,,,,,,,,,,,
,Metal Tread Plate,MT-1000,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Washer 12,LW-5800,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,ML Grip Tape,GT-1209,False,False,,800,600,0.0000,0.0000,,,,,0,,M ,,,,2019-04-30,,,,,,,,,,,
,ML Road Handlebars,HB-R720,True,True,,500,375,27.4925,61.9200,,,,,1,R ,M ,,4.0,57.0,2023-05-30,,,,,,,,,,,
,Lock Washer 10,LW-1201,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Decal 1,DC-8732,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Metal Plate 2,MP-2066,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Cup-Shaped Race,RA-2345,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,HL Road Rim,RM-R800,False,False,,800,600,0.0000,0.0000,,,G  ,400.00,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 7,LN-1224,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,HL Spindle/Axle,SD-9872,False,False,,500,375,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Cone-Shaped Race,RA-7490,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Thin-Jam Lock Nut 5,LJ-3816,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Chainring Nut,CN-6137,False,False,Silver,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Chain Stays,CS-2812,True,False,,1000,750,0.0000,0.0000,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,Headlights - Weatherproof,LT-H903,False,True,,4,3,18.5584,44.9900,,,,,0,R ,,,33.0,110.0,2023-05-30,2024-05-28,,,,,,,,,,
,Thin-Jam Lock Nut 1,LJ-1420,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Hex Nut 9,HN-1428,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,External Lock Washer 6,LE-5160,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Washer 6,LW-1400,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,ML Bottom Bracket,BB-8107,True,True,,500,375,44.9506,101.2400,,,G  ,168.00,1,,M ,,5.0,96.0,2024-05-29,,,,,,,,,,,
,Metal Bar 2,MB-6061,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Lock Nut 4,LN-8320,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Internal Lock Washer 4,LI-1200,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Seat Tube,ST-9828,True,False,,500,375,0.0000,0.0000,,,,,1,,,,,,2019-04-30,,,,,,,,,,,
,Bearing Ball,BA-8327,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Flat Washer 2,FW-1400,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Flat Washer 3,FW-5160,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
,Metal Plate 1,MP-2503,False,False,,1000,750,0.0000,0.0000,,,,,0,,,,,,2019-04-30,,,,,,,,,,,
