businessentityid,quotadate,salesquota,rowguid,modifieddate
274,2022-05-30,28000.0000,99109bbf-8693-4587-bc23-6036ec89e1be,2022-04-15
274,2022-08-30,7000.0000,dfd01444-8900-461c-8d6f-04598dae01d4,2022-07-16
274,2022-11-30,91000.0000,0a69f453-9689-4ccf-a08c-c644670f5668,2022-10-16
274,2023-02-28,140000.0000,da8d1458-5fb9-4c3e-9ead-8f5ce1393047,2023-01-14
274,2023-05-30,70000.0000,760cef84-b980-417b-a667-7358c38857f0,2023-04-15
274,2023-08-30,154000.0000,fb29e024-f26a-49aa-a7cc-c99ae7ba4853,2023-07-16
274,2023-11-30,107000.0000,13947d2c-a254-47c9-8817-cbd186ffa526,2023-10-16
274,2024-02-28,58000.0000,bc1a222f-47a0-48d1-9c56-ac873269dc98,2024-01-14
274,2024-05-29,263000.0000,8b4e3cbf-f0ef-49c5-9a8c-87679055057e,2024-04-14
274,2024-08-29,116000.0000,e9de95e3-b119-4441-bd1d-b27fc4516022,2024-07-15
