table_name,table_schema
productsubcategory,production
productcategory,production
productdescription,production
productmodel,production
product,production
productcosthistory,production
productdocument,production
productinventory,production
productphoto,production
productmodelproductdescriptionculture,production
productmodelillustration,production
productproductphoto,production
productreview,production
productvendor,purchasing
specialofferproduct,sales
productlistpricehistory,production
vproductmodelcatalogdescription,production
vproductmodelinstructions,production
