table_name,table_schema
transactionhistoryarchive,production
unitmeasure,production
workorder,production
workorderrouting,production
productvendor,purchasing
purchaseorderdetail,purchasing
purchaseorderheader,purchasing
shipmethod,purchasing
vendor,purchasing
countryregioncurrency,sales
creditcard,sales
currency,sales
currencyrate,sales
customer,sales
personcreditcard,sales
salesorderdetail,sales
salesorderheader,sales
salesorderheadersalesreason,sales
salesperson,sales
salespersonquotahistory,sales
salesreason,sales
salestaxrate,sales
salesterritory,sales
salesterritoryhistory,sales
shoppingcartitem,sales
specialoffer,sales
specialofferproduct,sales
store,sales
