productmodelid,productmodelname,product_count,max_listprice,avg_listprice,min_listprice
30,Road-650,12,782.9900,782.9900000000000000,782.9900
9,LL Road Frame,12,337.2200,337.2200000000000000,337.2200
6,HL Road Frame,11,1431.5000,1431.5000000000000000,1431.5000
8,LL Mountain Frame,10,264.0500,256.9200000000000000,249.7900
5,HL Mountain Frame,10,1364.5000,1357.0500000000000000,1349.6000
10,LL Touring Frame,10,333.4200,333.4200000000000000,333.4200
36,Touring-3000,10,742.3500,742.3500000000000000,742.3500
23,Mountain-500,10,564.9900,552.4900000000000000,539.9900
19,Mountain-100,8,3399.9900,3387.4900000000000000,3374.9900
26,Road-250,8,2443.3500,2443.3500000000000000,2443.3500
34,Touring-1000,8,2384.0700,2384.0700000000000000,2384.0700
7,HL Touring Frame,8,1003.9100,1003.9100000000000000,1003.9100
20,Mountain-200,6,2319.9900,2307.4900000000000000,2294.9900
15,ML Mountain Frame-W,5,364.0900,361.0240000000000000,348.7600
28,Road-450,5,1457.9900,1457.9900000000000000,1457.9900
16,ML Road Frame,5,594.8300,594.8300000000000000,594.8300
29,Road-550-W,5,1120.4900,1120.4900000000000000,1120.4900
17,ML Road Frame-W,5,594.8300,594.8300000000000000,594.8300
25,Road-150,5,3578.2700,3578.2700000000000000,3578.2700
21,Mountain-300,4,1079.9900,1079.9900000000000000,1079.9900
