product_model_name,max_list_price,avg_list_price,twice_avg
Road-150,3578.2700,3578.2700000000000000,7156.5400000000000000
Mountain-100,3399.9900,3387.4900000000000000,6774.9800000000000000
Road-250,2443.3500,2443.3500000000000000,4886.7000000000000000
Touring-1000,2384.0700,2384.0700000000000000,4768.1400000000000000
Mountain-200,2319.9900,2307.4900000000000000,4614.9800000000000000
Road-350-W,1700.9900,1700.9900000000000000,3401.9800000000000000
Road-450,1457.9900,1457.9900000000000000,2915.9800000000000000
HL Road Frame,1431.5000,1431.5000000000000000,2863.0000000000000000
HL Mountain Frame,1364.5000,1357.0500000000000000,2714.1000000000000000
Touring-2000,1214.8500,1214.8500000000000000,2429.7000000000000000
Road-550-W,1120.4900,1120.4900000000000000,2240.9800000000000000
Mountain-300,1079.9900,1079.9900000000000000,2159.9800000000000000
HL Touring Frame,1003.9100,1003.9100000000000000,2007.8200000000000000
Road-650,782.9900,782.9900000000000000,1565.9800000000000000
Mountain-400-W,769.4900,769.4900000000000000,1538.9800000000000000
Touring-3000,742.3500,742.3500000000000000,1484.7000000000000000
ML Road Frame-W,594.8300,594.8300000000000000,1189.6600000000000000
ML Road Frame,594.8300,594.8300000000000000,1189.6600000000000000
Mountain-500,564.9900,552.4900000000000000,1104.9800000000000000
Road-750,539.9900,539.9900000000000000,1079.9800000000000000
