table_catalog,table_schema,table_name
adventureworks,humanresources,department
adventureworks,humanresources,employee
adventureworks,humanresources,employeedepartmenthistory
adventureworks,humanresources,employeepayhistory
adventureworks,humanresources,jobcandidate
adventureworks,humanresources,shift
adventureworks,person,address
adventureworks,person,addresstype
adventureworks,person,businessentity
adventureworks,person,businessentityaddress
adventureworks,person,businessentitycontact
adventureworks,person,contacttype
adventureworks,person,countryregion
adventureworks,person,emailaddress
adventureworks,person,password
adventureworks,person,person
adventureworks,person,personphone
adventureworks,person,phonenumbertype
adventureworks,person,stateprovince
adventureworks,pg_catalog,pg_aggregate
adventureworks,pg_catalog,pg_am
adventureworks,pg_catalog,pg_amop
adventureworks,pg_catalog,pg_amproc
adventureworks,pg_catalog,pg_attrdef
adventureworks,pg_catalog,pg_attribute
adventureworks,pg_catalog,pg_auth_members
adventureworks,pg_catalog,pg_authid
adventureworks,pg_catalog,pg_cast
adventureworks,pg_catalog,pg_class
adventureworks,pg_catalog,pg_collation
adventureworks,pg_catalog,pg_constraint
adventureworks,pg_catalog,pg_conversion
adventureworks,pg_catalog,pg_database
adventureworks,pg_catalog,pg_db_role_setting
adventureworks,pg_catalog,pg_default_acl
adventureworks,pg_catalog,pg_depend
adventureworks,pg_catalog,pg_description
adventureworks,pg_catalog,pg_enum
adventureworks,pg_catalog,pg_event_trigger
adventureworks,pg_catalog,pg_extension
adventureworks,pg_catalog,pg_foreign_data_wrapper
adventureworks,pg_catalog,pg_foreign_server
adventureworks,pg_catalog,pg_foreign_table
adventureworks,pg_catalog,pg_index
adventureworks,pg_catalog,pg_inherits
adventureworks,pg_catalog,pg_init_privs
adventureworks,pg_catalog,pg_language
adventureworks,pg_catalog,pg_largeobject
adventureworks,pg_catalog,pg_largeobject_metadata
adventureworks,pg_catalog,pg_namespace
adventureworks,pg_catalog,pg_opclass
adventureworks,pg_catalog,pg_operator
adventureworks,pg_catalog,pg_opfamily
adventureworks,pg_catalog,pg_parameter_acl
adventureworks,pg_catalog,pg_partitioned_table
adventureworks,pg_catalog,pg_policy
adventureworks,pg_catalog,pg_proc
adventureworks,pg_catalog,pg_publication
adventureworks,pg_catalog,pg_publication_namespace
adventureworks,pg_catalog,pg_publication_rel
adventureworks,pg_catalog,pg_range
adventureworks,pg_catalog,pg_replication_origin
adventureworks,pg_catalog,pg_rewrite
adventureworks,pg_catalog,pg_seclabel
adventureworks,pg_catalog,pg_sequence
adventureworks,pg_catalog,pg_shdepend
adventureworks,pg_catalog,pg_shdescription
adventureworks,pg_catalog,pg_shseclabel
adventureworks,pg_catalog,pg_statistic
adventureworks,pg_catalog,pg_statistic_ext
adventureworks,pg_catalog,pg_statistic_ext_data
adventureworks,pg_catalog,pg_subscription
adventureworks,pg_catalog,pg_subscription_rel
adventureworks,pg_catalog,pg_tablespace
adventureworks,pg_catalog,pg_transform
adventureworks,pg_catalog,pg_trigger
adventureworks,pg_catalog,pg_ts_config
adventureworks,pg_catalog,pg_ts_config_map
adventureworks,pg_catalog,pg_ts_dict
adventureworks,pg_catalog,pg_ts_parser
adventureworks,pg_catalog,pg_ts_template
adventureworks,pg_catalog,pg_type
adventureworks,pg_catalog,pg_user_mapping
adventureworks,production,billofmaterials
adventureworks,production,culture
adventureworks,production,document
adventureworks,production,illustration
adventureworks,production,location
adventureworks,production,product
adventureworks,production,productcategory
adventureworks,production,productcosthistory
adventureworks,production,productdescription
adventureworks,production,productdocument
adventureworks,production,productinventory
adventureworks,production,productlistpricehistory
adventureworks,production,productmodel
adventureworks,production,productmodelillustration
adventureworks,production,productmodelproductdescriptionculture
adventureworks,production,productphoto
adventureworks,production,productproductphoto
adventureworks,production,productreview
adventureworks,production,productsubcategory
adventureworks,production,scrapreason
adventureworks,production,transactionhistory
adventureworks,production,transactionhistoryarchive
adventureworks,production,unitmeasure
adventureworks,production,workorder
adventureworks,production,workorderrouting
adventureworks,purchasing,productvendor
adventureworks,purchasing,purchaseorderdetail
adventureworks,purchasing,purchaseorderheader
adventureworks,purchasing,shipmethod
adventureworks,purchasing,vendor
adventureworks,sales,countryregioncurrency
adventureworks,sales,creditcard
adventureworks,sales,currency
adventureworks,sales,currencyrate
adventureworks,sales,customer
adventureworks,sales,personcreditcard
adventureworks,sales,salesorderdetail
adventureworks,sales,salesorderheader
adventureworks,sales,salesorderheadersalesreason
adventureworks,sales,salesperson
adventureworks,sales,salespersonquotahistory
adventureworks,sales,salesreason
adventureworks,sales,salestaxrate
adventureworks,sales,salesterritory
adventureworks,sales,salesterritoryhistory
adventureworks,sales,shoppingcartitem
adventureworks,sales,specialoffer
adventureworks,sales,specialofferproduct
adventureworks,sales,store
