jobtitle,employeewithfewestvacationhours,loginid,fewestvacationhours
Accountant,245,adventure-works\barbara1,58
Accounts Manager,241,adventure-works\david6,57
Accounts Payable Specialist,246,adventure-works\dragan0,63
Accounts Receivable Specialist,242,adventure-works\deborah0,60
Application Specialist,272,adventure-works\janaina0,71
Assistant to the Chief Financial Officer,262,adventure-works\david5,56
Benefits Specialist,239,adventure-works\mindy0,51
Buyer,255,adventure-works\gordon0,52
Chief Executive Officer,1,adventure-works\ken0,99
Chief Financial Officer,234,adventure-works\laura1,0
Control Specialist,221,adventure-works\chris1,75
Database Administrator,271,adventure-works\dan1,66
Design Engineer,15,adventure-works\sharon0,4
Document Control Assistant,219,adventure-works\sean1,78
Document Control Manager,217,adventure-works\zainal0,77
Engineering Manager,3,adventure-works\roberto0,2
European Sales Manager,287,adventure-works\amy0,21
Facilities Administrative Assistant,233,adventure-works\magnus0,87
Facilities Manager,227,adventure-works\gary1,86
Finance Manager,249,adventure-works\wendy0,55
Human Resources Administrative Assistant,237,adventure-works\hao0,52
Human Resources Manager,235,adventure-works\paula0,54
Information Services Manager,263,adventure-works\jean0,65
Janitor,230,adventure-works\stuart1,88
Maintenance Supervisor,228,adventure-works\christian0,92
Marketing Assistant,20,adventure-works\wanida0,41
Marketing Manager,16,adventure-works\david0,40
Marketing Specialist,21,adventure-works\terry0,44
Master Scheduler,222,adventure-works\ascott0,44
Network Administrator,266,adventure-works\peter1,69
Network Manager,264,adventure-works\stephanie0,68
North American Sales Manager,274,adventure-works\stephen0,14
Pacific Sales Manager,285,adventure-works\syed0,20
Production Control Manager,26,adventure-works\peter0,43
Production Supervisor - WC10,47,adventure-works\andrew0,65
Production Supervisor - WC20,134,adventure-works\eric0,40
Production Supervisor - WC30,166,adventure-works\jack0,68
Production Supervisor - WC40,192,adventure-works\brenda0,71
Production Supervisor - WC45,160,adventure-works\jeff0,74
Production Supervisor - WC50,108,adventure-works\jinghao0,77
Production Supervisor - WC60,27,adventure-works\jo0,80
Production Technician - WC10,48,adventure-works\ruth0,83
Production Technician - WC20,139,adventure-works\hung-fu0,0
Production Technician - WC30,172,adventure-works\marc0,22
Production Technician - WC40,194,adventure-works\fred0,47
Production Technician - WC45,164,adventure-works\andrew1,73
Production Technician - WC50,97,adventure-works\mandar0,0
Production Technician - WC60,30,adventure-works\britta0,14
Purchasing Assistant,260,adventure-works\annette0,50
Purchasing Manager,250,adventure-works\sheela0,49
Quality Assurance Manager,211,adventure-works\hazem0,80
Quality Assurance Supervisor,212,adventure-works\peng0,81
Quality Assurance Technician,216,adventure-works\sean0,82
Recruiter,240,adventure-works\willis0,49
Research and Development Engineer,8,adventure-works\diane1,62
Research and Development Manager,10,adventure-works\michael6,16
Sales Representative,280,adventure-works\pamela0,22
Scheduling Assistant,224,adventure-works\william0,45
Senior Design Engineer,14,adventure-works\michael8,3
Senior Tool Designer,11,adventure-works\ovidiu0,7
Shipping and Receiving Clerk,125,adventure-works\matthias0,94
Shipping and Receiving Supervisor,121,adventure-works\pilar0,93
Stocker,126,adventure-works\jimmy0,96
Tool Designer,13,adventure-works\janice0,8
Vice President of Engineering,2,adventure-works\terri0,1
Vice President of Production,25,adventure-works\james1,64
Vice President of Sales,273,adventure-works\brian3,10
