table_name,table_schema
billofmaterials,production
culture,production
document,production
illustration,production
location,production
product,production
productcategory,production
productcosthistory,production
productdescription,production
productdocument,production
productinventory,production
productlistpricehistory,production
productmodel,production
productmodelillustration,production
productmodelproductdescriptionculture,production
productphoto,production
productproductphoto,production
productreview,production
productsubcategory,production
scrapreason,production
transactionhistory,production
transactionhistoryarchive,production
unitmeasure,production
vproductmodelcatalogdescription,production
vproductmodelinstructions,production
workorder,production
workorderrouting,production
