table_schema,table_name
hr,d
hr,e
hr,edh
hr,eph
hr,jc
hr,s
humanresources,department
humanresources,employee
humanresources,employeedepartmenthistory
humanresources,employeenameview
humanresources,employeepayhistory
humanresources,jobcandidate
humanresources,shift
humanresources,vemployee
humanresources,vemployeedepartment
humanresources,vemployeedepartmenthistory
humanresources,vjobcandidate
humanresources,vjobcandidateeducation
humanresources,vjobcandidateemployment
pe,a
pe,at
pe,be
pe,bea
pe,bec
pe,cr
pe,ct
pe,e
pe,p
pe,pa
pe,pnt
pe,pp
pe,sp
person,address
person,addresstype
person,businessentity
person,businessentityaddress
person,businessentitycontact
person,contacttype
person,countryregion
person,emailaddress
person,password
person,person
person,personphone
person,phonenumbertype
person,stateprovince
person,vadditionalcontactinfo
pr,bom
pr,c
pr,d
pr,i
pr,l
pr,p
pr,pc
pr,pch
pr,pd
pr,pdoc
pr,pi
pr,plph
pr,pm
pr,pmi
pr,pmpdc
pr,pp
pr,ppp
pr,pr
pr,psc
pr,sr
pr,th
pr,tha
pr,um
pr,w
pr,wr
production,billofmaterials
production,culture
production,document
production,illustration
production,location
production,product
production,productcategory
production,productcosthistory
production,productdescription
production,productdocument
production,productinventory
production,productlistpricehistory
production,productmodel
production,productmodelillustration
production,productmodelproductdescriptionculture
production,productphoto
production,productproductphoto
production,productreview
production,productsubcategory
production,scrapreason
production,transactionhistory
production,transactionhistoryarchive
production,unitmeasure
production,vproductmodelcatalogdescription
production,vproductmodelinstructions
production,workorder
production,workorderrouting
pu,pod
pu,poh
pu,pv
pu,sm
pu,v
purchasing,productvendor
purchasing,purchaseorderdetail
purchasing,purchaseorderheader
purchasing,shipmethod
purchasing,vendor
purchasing,vvendorwithaddresses
purchasing,vvendorwithcontacts
sa,c
sa,cc
sa,cr
sa,crc
sa,cu
sa,pcc
sa,s
sa,sci
sa,so
sa,sod
sa,soh
sa,sohsr
sa,sop
sa,sp
sa,spqh
sa,sr
sa,st
sa,sth
sa,tr
sales,countryregioncurrency
sales,creditcard
sales,currency
sales,currencyrate
sales,customer
sales,personcreditcard
sales,salesorderdetail
sales,salesorderheader
sales,salesorderheadersalesreason
sales,salesperson
sales,salespersonquotahistory
sales,salesreason
sales,salestaxrate
sales,salesterritory
sales,salesterritoryhistory
sales,shoppingcartitem
sales,specialoffer
sales,specialofferproduct
sales,store
sales,vindividualcustomer
sales,vpersondemographics
sales,vsalesperson
sales,vsalespersonsalesbyfiscalyears
sales,vsalespersonsalesbyfiscalyearsdata
sales,vstorewithaddresses
sales,vstorewithcontacts
sales,vstorewithdemographics
