jobtitle,employee_with_fewest_vacation_hours,fewest_vacation_hours
Network Manager,264,68
North American Sales Manager,274,14
Pacific Sales Manager,285,20
Production Control Manager,26,43
Production Supervisor - WC10,47,65
Production Supervisor - WC20,134,40
Production Supervisor - WC30,166,68
Production Supervisor - WC40,192,71
Production Supervisor - WC45,160,74
Production Supervisor - WC50,108,77
Production Supervisor - WC60,27,80
Production Technician - WC10,48,83
Production Technician - WC20,139,0
Production Technician - WC30,172,22
Production Technician - WC40,194,47
Production Technician - WC45,164,73
Production Technician - WC50,97,0
Production Technician - WC60,30,14
Purchasing Assistant,260,50
Purchasing Manager,250,49
Quality Assurance Manager,211,80
Quality Assurance Supervisor,212,81
Quality Assurance Technician,216,82
Recruiter,240,49
Research and Development Engineer,8,62
Research and Development Manager,10,16
Sales Representative,280,22
Scheduling Assistant,224,45
Senior Design Engineer,14,3
Senior Tool Designer,11,7
Shipping and Receiving Clerk,125,94
Shipping and Receiving Supervisor,121,93
Stocker,126,96
Tool Designer,13,8
Vice President of Engineering,2,1
Vice President of Production,25,64
Vice President of Sales,273,10
