table_schema,table_name
production,billofmaterials
production,culture
production,document
production,illustration
production,location
production,product
production,productcategory
production,productcosthistory
production,productdescription
production,productdocument
production,productinventory
production,productlistpricehistory
production,productmodel
production,productmodelillustration
production,productmodelproductdescriptionculture
production,productphoto
production,productproductphoto
production,productreview
production,productsubcategory
production,scrapreason
production,transactionhistory
production,transactionhistoryarchive
production,unitmeasure
production,vproductmodelcatalogdescription
production,vproductmodelinstructions
production,workorder
production,workorderrouting
sales,countryregioncurrency
sales,creditcard
sales,currency
sales,currencyrate
sales,customer
sales,personcreditcard
sales,salesorderdetail
sales,salesorderheader
sales,salesorderheadersalesreason
sales,salesperson
sales,salespersonquotahistory
sales,salesreason
sales,salestaxrate
sales,salesterritory
sales,salesterritoryhistory
sales,shoppingcartitem
sales,specialoffer
sales,specialofferproduct
sales,store
sales,vindividualcustomer
sales,vpersondemographics
sales,vsalesperson
sales,vsalespersonsalesbyfiscalyears
sales,vsalespersonsalesbyfiscalyearsdata
sales,vstorewithaddresses
sales,vstorewithcontacts
sales,vstorewithdemographics
