table_schema,table_name
sales,countryregioncurrency
sales,currency
sales,currencyrate
sales,salespersonquotahistory
sales,creditcard
sales,customer
sales,personcreditcard
sales,salesorderheader
sales,salesorderdetail
sales,salesperson
sales,salesorderheadersalesreason
sales,store
sales,salesterritory
sales,salestaxrate
sales,specialofferproduct
sales,salesreason
sales,salesterritoryhistory
sales,shoppingcartitem
sales,specialoffer
sales,vindividualcustomer
sales,vpersondemographics
sales,vstorewithdemographics
sales,vsalesperson
sales,vsalespersonsalesbyfiscalyearsdata
sales,vsalespersonsalesbyfiscalyears
sales,vstorewithcontacts
sales,vstorewithaddresses
