table_schema,table_name,table_type
humanresources,department,BASE TABLE
humanresources,employee,BASE TABLE
humanresources,employeedepartmenthistory,BASE TABLE
humanresources,employeenameview,VIEW
humanresources,employeepayhistory,BASE TABLE
humanresources,jobcandidate,BASE TABLE
humanresources,shift,BASE TABLE
humanresources,vemployee,VIEW
humanresources,vemployeedepartment,VIEW
humanresources,vemployeedepartmenthistory,VIEW
humanresources,vjobcandidate,VIEW
humanresources,vjobcandidateeducation,VIEW
humanresources,vjobcandidateemployment,VIEW
