listprice,count
0.0000,200
2.2900,1
3.9900,1
4.9900,3
7.9500,1
8.9900,4
9.5000,2
9.9900,1
13.9900,1
19.9900,1
20.2400,1
21.4900,1
21.9800,1
24.4900,3
24.9900,3
25.0000,1
27.1200,3
28.9900,1
29.9900,1
32.6000,1
34.2000,1
34.9900,4
35.0000,1
37.9900,3
39.1400,3
40.4900,2
44.5400,2
44.9900,1
46.0900,1
49.9900,4
52.6400,3
53.9900,5
54.9900,1
59.9900,4
60.7450,1
61.9200,2
62.0900,2
63.5000,3
69.9900,3
74.9900,3
80.9900,3
85.5650,1
87.7450,1
89.9900,3
91.4900,1
91.5700,1
101.2400,1
102.2900,1
106.5000,2
112.5650,1
120.0000,1
120.2700,2
121.4600,1
121.4900,1
124.7300,1
125.0000,1
133.3400,3
147.1400,3
148.2200,1
159.0000,1
175.4900,2
196.9200,3
209.0250,1
218.0100,1
229.4900,1
236.0250,1
245.0100,1
248.3850,1
249.7900,5
256.4900,1
264.0500,5
275.3850,1
300.2150,1
327.2150,1
330.0600,1
333.4200,10
337.2200,12
348.7600,4
357.0600,1
364.0900,4
404.9900,1
539.9900,9
564.9900,5
594.8300,10
742.3500,10
769.4900,4
782.9900,12
1003.9100,8
1079.9900,4
1120.4900,5
1214.8500,4
1349.6000,5
1364.5000,5
1431.5000,11
1457.9900,5
1700.9900,4
2294.9900,3
2319.9900,3
2384.0700,8
2443.3500,8
3374.9900,4
3399.9900,4
3578.2700,5
