businessentityid,ratechangedate,rate,payfrequency,modifieddate
217,2009-01-04,17.7885,2,2014-06-30
218,2008-12-16,16.8269,2,2014-06-30
219,2009-01-22,10.2500,2,2014-06-30
220,2009-02-09,10.2500,2,2014-06-30
221,2009-03-06,16.8269,2,2014-06-30
263,2008-12-11,50.4808,2,2014-06-30
264,2009-02-04,39.6635,2,2014-06-30
265,2008-12-04,32.4519,2,2014-06-30
266,2009-02-23,32.4519,2,2014-06-30
267,2009-02-16,27.4038,2,2014-06-30
268,2009-02-03,27.4038,2,2014-06-30
269,2009-01-11,27.4038,2,2014-06-30
270,2009-01-17,38.4615,2,2014-06-30
271,2009-01-22,38.4615,2,2014-06-30
272,2008-12-23,27.4038,2,2014-06-30
