name,jobtitle,groupname,employeecount
Finance,Accountant,Executive General and Administration,2
Production Control,Scheduling Assistant,Manufacturing,4
Finance,Accounts Payable Specialist,Executive General and Administration,2
Finance,Accounts Receivable Specialist,Executive General and Administration,3
Finance,Accounts Manager,Executive General and Administration,1
Production Control,Production Control Manager,Manufacturing,1
Finance,Finance Manager,Executive General and Administration,1
Production Control,Master Scheduler,Manufacturing,1
Finance,Assistant to the Chief Financial Officer,Executive General and Administration,1
Finance,,Executive General and Administration,10
Production Control,,Manufacturing,6
,,Executive General and Administration,10
,,Manufacturing,6
,,,16
