table_schema,table_name
production,productsubcategory
production,productcategory
production,productdescription
production,productmodel
production,product
production,productcosthistory
production,productdocument
production,productinventory
production,productphoto
production,productmodelproductdescriptionculture
production,productmodelillustration
production,productproductphoto
production,productreview
purchasing,productvendor
sales,salesorderdetail
sales,specialofferproduct
production,productlistpricehistory
production,vproductmodelcatalogdescription
production,vproductmodelinstructions
