productmodelid,product_model_name,max_list_price,avg_list_price
25,Road-150,3578.2700,3578.2700000000000000
19,Mountain-100,3399.9900,3387.4900000000000000
26,Road-250,2443.3500,2443.3500000000000000
34,Touring-1000,2384.0700,2384.0700000000000000
20,Mountain-200,2319.9900,2307.4900000000000000
27,Road-350-W,1700.9900,1700.9900000000000000
28,Road-450,1457.9900,1457.9900000000000000
6,HL Road Frame,1431.5000,1431.5000000000000000
5,HL Mountain Frame,1364.5000,1357.0500000000000000
35,Touring-2000,1214.8500,1214.8500000000000000
