jobtitle,employee_with_fewest_vacation_hours,fewest_vacation_hours
Accountant,245,58
Accounts Manager,241,57
Accounts Payable Specialist,246,63
Accounts Receivable Specialist,242,60
Application Specialist,272,71
Assistant to the Chief Financial Officer,262,56
Benefits Specialist,239,51
Buyer,255,52
Chief Executive Officer,1,99
Chief Financial Officer,234,0
Control Specialist,221,75
Database Administrator,271,66
Design Engineer,15,4
Document Control Assistant,219,78
Document Control Manager,217,77
Engineering Manager,3,2
European Sales Manager,287,21
Facilities Administrative Assistant,233,87
Facilities Manager,227,86
Finance Manager,249,55
Human Resources Administrative Assistant,237,52
Human Resources Manager,235,54
Information Services Manager,263,65
Janitor,230,88
Maintenance Supervisor,228,92
Marketing Assistant,20,41
Marketing Manager,16,40
Marketing Specialist,21,44
Master Scheduler,222,44
Network Administrator,266,69
Network Manager,264,68
North American Sales Manager,274,14
Pacific Sales Manager,285,20
Production Control Manager,26,43
Production Supervisor - WC10,47,65
Production Supervisor - WC20,134,40
Production Supervisor - WC30,166,68
Production Supervisor - WC40,192,71
Production Supervisor - WC45,160,74
Production Supervisor - WC50,108,77
Production Supervisor - WC60,27,80
Production Technician - WC10,48,83
Production Technician - WC20,139,0
Production Technician - WC30,172,22
Production Technician - WC40,194,47
Production Technician - WC45,164,73
Production Technician - WC50,97,0
Production Technician - WC60,30,14
Purchasing Assistant,260,50
Purchasing Manager,250,49
Quality Assurance Manager,211,80
Quality Assurance Supervisor,212,81
Quality Assurance Technician,216,82
Recruiter,240,49
Research and Development Engineer,8,62
Research and Development Manager,10,16
Sales Representative,280,22
Scheduling Assistant,224,45
Senior Design Engineer,14,3
Senior Tool Designer,11,7
Shipping and Receiving Clerk,125,94
Shipping and Receiving Supervisor,121,93
Stocker,126,96
Tool Designer,13,8
Vice President of Engineering,2,1
Vice President of Production,25,64
Vice President of Sales,273,10
