column_name,data_type,is_nullable
businessentityid,integer,NO
territoryid,integer,YES
salesquota,numeric,YES
bonus,numeric,NO
commissionpct,numeric,NO
salesytd,numeric,NO
saleslastyear,numeric,NO
rowguid,uuid,NO
modifieddate,timestamp without time zone,NO
territoryid,integer,NO
name,character varying,NO
countryregioncode,character varying,NO
group,character varying,NO
salesytd,numeric,NO
saleslastyear,numeric,NO
costytd,numeric,NO
costlastyear,numeric,NO
rowguid,uuid,NO
modifieddate,timestamp without time zone,NO
