productmodelid,product_model_name,product_count,min_price,max_price,avg_price,max_to_avg_ratio
8,LL Mountain Frame,10,249.7900,264.0500,256.92,1.03
23,Mountain-500,10,539.9900,564.9900,552.49,1.02
5,HL Mountain Frame,10,1349.6000,1364.5000,1357.05,1.01
15,ML Mountain Frame-W,5,348.7600,364.0900,361.02,1.01
20,Mountain-200,6,2294.9900,2319.9900,2307.49,1.01
80,ML Mountain Seat/Saddle 2,1,39.1400,39.1400,39.14,1.00
52,LL Mountain Handlebars,1,44.5400,44.5400,44.54,1.00
84,HL Road Seat/Saddle 2,1,52.6400,52.6400,52.64,1.00
92,Mountain Tire Tube,1,4.9900,4.9900,4.99,1.00
101,HL Crankset,1,404.9900,404.9900,404.99,1.00
69,ML Road Pedal,1,62.0900,62.0900,62.09,1.00
114,Patch kit,1,2.2900,2.2900,2.29,1.00
115,Cable Lock,1,25.0000,25.0000,25.00,1.00
60,ML Headset,1,102.2900,102.2900,102.29,1.00
97,HL Bottom Bracket,1,121.4900,121.4900,121.49,1.00
112,Mountain Bottle Cage,1,9.9900,9.9900,9.99,1.00
108,Taillight,1,13.9900,13.9900,13.99,1.00
22,Mountain-400-W,4,769.4900,769.4900,769.49,1.00
59,LL Headset,1,34.2000,34.2000,34.20,1.00
65,ML Touring Seat/Saddle,1,39.1400,39.1400,39.14,1.00
127,Rear Derailleur,1,121.4600,121.4600,121.46,1.00
124,ML Mountain Rear Wheel,1,236.0250,236.0250,236.03,1.00
98,Chain,1,20.2400,20.2400,20.24,1.00
103,Front Derailleur,1,91.4900,91.4900,91.49,1.00
44,Touring Front Wheel,1,218.0100,218.0100,218.01,1.00
11,Long-Sleeve Logo Jersey,4,49.9900,49.9900,49.99,1.00
42,LL Mountain Front Wheel,1,60.7450,60.7450,60.75,1.00
121,Fender Set - Mountain,1,21.9800,21.9800,21.98,1.00
117,Mountain Pump,1,24.9900,24.9900,24.99,1.00
88,LL Road Tire,1,21.4900,21.4900,21.49,1.00
