name,jobtitle,groupname,grouping_level,employeecount
Finance,Accountant,Executive General and Administration,Detail,2
Finance,Accounts Manager,Executive General and Administration,Detail,1
Finance,Accounts Payable Specialist,Executive General and Administration,Detail,2
Finance,Accounts Receivable Specialist,Executive General and Administration,Detail,3
Finance,Assistant to the Chief Financial Officer,Executive General and Administration,Detail,1
Finance,Finance Manager,Executive General and Administration,Detail,1
Finance,,Executive General and Administration,By Department,10
,,Executive General and Administration,By Group,10
Production Control,Master Scheduler,Manufacturing,Detail,1
Production Control,Production Control Manager,Manufacturing,Detail,1
Production Control,Scheduling Assistant,Manufacturing,Detail,4
Production Control,,Manufacturing,By Department,6
,,Manufacturing,By Group,6
,,,Grand Total,16
