table_schema,table_name
humanresources,employeenameview
person,address
person,stateprovince
person,businessentityaddress
person,addresstype
person,businessentity
person,person
person,businessentitycontact
person,contacttype
person,emailaddress
person,password
person,phonenumbertype
person,countryregion
humanresources,employee
humanresources,department
humanresources,employeedepartmenthistory
person,personphone
humanresources,employeepayhistory
humanresources,jobcandidate
production,document
production,billofmaterials
humanresources,shift
production,productsubcategory
production,culture
production,productcategory
production,productdescription
production,productmodel
production,product
production,productcosthistory
production,productdocument
production,location
production,productinventory
production,illustration
production,productphoto
production,productmodelproductdescriptionculture
production,productmodelillustration
production,productproductphoto
production,productreview
production,unitmeasure
purchasing,purchaseorderheader
production,transactionhistoryarchive
purchasing,productvendor
purchasing,purchaseorderdetail
purchasing,shipmethod
production,transactionhistory
production,workorder
production,scrapreason
production,workorderrouting
sales,countryregioncurrency
sales,currency
sales,currencyrate
sales,salespersonquotahistory
sales,creditcard
sales,customer
sales,personcreditcard
purchasing,vendor
sales,salesorderheader
sales,salesorderdetail
sales,salesperson
sales,salesorderheadersalesreason
sales,store
sales,salesterritory
sales,salestaxrate
sales,specialofferproduct
sales,salesreason
sales,salesterritoryhistory
sales,shoppingcartitem
sales,specialoffer
production,productlistpricehistory
humanresources,vemployee
person,vadditionalcontactinfo
humanresources,vemployeedepartment
humanresources,vemployeedepartmenthistory
sales,vindividualcustomer
sales,vpersondemographics
humanresources,vjobcandidate
humanresources,vjobcandidateemployment
humanresources,vjobcandidateeducation
sales,vstorewithdemographics
production,vproductmodelcatalogdescription
production,vproductmodelinstructions
sales,vsalesperson
sales,vsalespersonsalesbyfiscalyearsdata
sales,vsalespersonsalesbyfiscalyears
sales,vstorewithcontacts
pe,bec
sales,vstorewithaddresses
purchasing,vvendorwithcontacts
purchasing,vvendorwithaddresses
pe,a
pe,at
pe,be
pe,bea
pe,ct
pe,cr
pe,e
pe,pa
pe,p
pe,pp
pe,pnt
