table_name,table_schema
department,humanresources
employee,humanresources
employeedepartmenthistory,humanresources
employeenameview,humanresources
employeepayhistory,humanresources
jobcandidate,humanresources
shift,humanresources
vemployee,humanresources
vemployeedepartment,humanresources
vemployeedepartmenthistory,humanresources
vjobcandidate,humanresources
vjobcandidateeducation,humanresources
vjobcandidateemployment,humanresources
countryregioncurrency,sales
creditcard,sales
currency,sales
currencyrate,sales
customer,sales
personcreditcard,sales
salesorderdetail,sales
salesorderheader,sales
salesorderheadersalesreason,sales
salesperson,sales
salespersonquotahistory,sales
salesreason,sales
salestaxrate,sales
salesterritory,sales
salesterritoryhistory,sales
shoppingcartitem,sales
specialoffer,sales
specialofferproduct,sales
store,sales
vindividualcustomer,sales
vpersondemographics,sales
vsalesperson,sales
vsalespersonsalesbyfiscalyears,sales
vsalespersonsalesbyfiscalyearsdata,sales
vstorewithaddresses,sales
vstorewithcontacts,sales
vstorewithdemographics,sales
