businessentityid,jobtitle,vacationhours,employee_with_fewest_vacation
245,Accountant,58,245
248,Accountant,59,245
241,Accounts Manager,57,241
246,Accounts Payable Specialist,63,246
247,Accounts Payable Specialist,64,246
242,Accounts Receivable Specialist,60,242
243,Accounts Receivable Specialist,61,242
244,Accounts Receivable Specialist,62,242
272,Application Specialist,71,272
269,Application Specialist,72,272
268,Application Specialist,73,272
267,Application Specialist,74,272
262,Assistant to the Chief Financial Officer,56,262
239,Benefits Specialist,51,239
255,Buyer,52,255
258,Buyer,53,255
257,Buyer,54,255
259,Buyer,55,255
253,Buyer,56,255
254,Buyer,57,255
256,Buyer,58,255
251,Buyer,59,255
252,Buyer,60,255
1,Chief Executive Officer,99,1
234,Chief Financial Officer,0,234
221,Control Specialist,75,221
218,Control Specialist,76,221
271,Database Administrator,66,271
270,Database Administrator,67,271
15,Design Engineer,4,15
5,Design Engineer,5,15
6,Design Engineer,6,15
219,Document Control Assistant,78,219
220,Document Control Assistant,79,219
217,Document Control Manager,77,217
3,Engineering Manager,2,3
287,European Sales Manager,21,287
233,Facilities Administrative Assistant,87,233
227,Facilities Manager,86,227
249,Finance Manager,55,249
237,Human Resources Administrative Assistant,52,237
236,Human Resources Administrative Assistant,53,237
235,Human Resources Manager,54,235
263,Information Services Manager,65,263
230,Janitor,88,230
232,Janitor,89,230
229,Janitor,90,230
231,Janitor,91,230
228,Maintenance Supervisor,92,228
20,Marketing Assistant,41,20
17,Marketing Assistant,42,20
19,Marketing Assistant,43,20
16,Marketing Manager,40,16
21,Marketing Specialist,44,21
22,Marketing Specialist,45,21
23,Marketing Specialist,46,21
24,Marketing Specialist,47,21
18,Marketing Specialist,48,21
222,Master Scheduler,44,222
266,Network Administrator,69,266
265,Network Administrator,70,266
264,Network Manager,68,264
274,North American Sales Manager,14,274
285,Pacific Sales Manager,20,285
26,Production Control Manager,43,26
47,Production Supervisor - WC10,65,47
102,Production Supervisor - WC10,66,47
87,Production Supervisor - WC10,67,47
134,Production Supervisor - WC20,40,134
152,Production Supervisor - WC20,41,134
180,Production Supervisor - WC20,42,134
166,Production Supervisor - WC30,68,166
145,Production Supervisor - WC30,69,166
71,Production Supervisor - WC30,70,166
192,Production Supervisor - WC40,71,192
78,Production Supervisor - WC40,72,192
127,Production Supervisor - WC40,73,192
160,Production Supervisor - WC45,74,160
186,Production Supervisor - WC45,75,160
205,Production Supervisor - WC45,76,160
108,Production Supervisor - WC50,77,108
93,Production Supervisor - WC50,78,108
55,Production Supervisor - WC50,79,108
27,Production Supervisor - WC60,80,27
62,Production Supervisor - WC60,81,27
40,Production Supervisor - WC60,82,27
