table_name,table_type
a,VIEW
at,VIEW
be,VIEW
bea,VIEW
bec,VIEW
bom,VIEW
c,VIEW
c,VIEW
cc,VIEW
cr,VIEW
cr,VIEW
crc,VIEW
ct,VIEW
cu,VIEW
d,VIEW
d,VIEW
e,VIEW
e,VIEW
edh,VIEW
employeenameview,VIEW
eph,VIEW
i,VIEW
jc,VIEW
l,VIEW
p,VIEW
p,VIEW
pa,VIEW
pc,VIEW
pcc,VIEW
pch,VIEW
pd,VIEW
pdoc,VIEW
pi,VIEW
plph,VIEW
pm,VIEW
pmi,VIEW
pmpdc,VIEW
pnt,VIEW
pod,VIEW
poh,VIEW
pp,VIEW
pp,VIEW
ppp,VIEW
pr,VIEW
psc,VIEW
pv,VIEW
s,VIEW
s,VIEW
sci,VIEW
sm,VIEW
so,VIEW
sod,VIEW
soh,VIEW
sohsr,VIEW
sop,VIEW
sp,VIEW
sp,VIEW
spqh,VIEW
sr,VIEW
sr,VIEW
st,VIEW
sth,VIEW
th,VIEW
tha,VIEW
tr,VIEW
um,VIEW
v,VIEW
vadditionalcontactinfo,VIEW
vemployee,VIEW
vemployeedepartment,VIEW
vemployeedepartmenthistory,VIEW
vindividualcustomer,VIEW
vjobcandidate,VIEW
vjobcandidateeducation,VIEW
vjobcandidateemployment,VIEW
vpersondemographics,VIEW
vproductmodelcatalogdescription,VIEW
vproductmodelinstructions,VIEW
vsalesperson,VIEW
vsalespersonsalesbyfiscalyears,VIEW
vsalespersonsalesbyfiscalyearsdata,VIEW
vstorewithaddresses,VIEW
vstorewithcontacts,VIEW
vstorewithdemographics,VIEW
vvendorwithaddresses,VIEW
vvendorwithcontacts,VIEW
w,VIEW
wr,VIEW
