businessentityid,jobtitle,vacationhours,rownum
245,Accountant,58,1
248,Accountant,59,2
241,Accounts Manager,57,1
246,Accounts Payable Specialist,63,1
247,Accounts Payable Specialist,64,2
242,Accounts Receivable Specialist,60,1
243,Accounts Receivable Specialist,61,2
244,Accounts Receivable Specialist,62,3
272,Application Specialist,71,1
269,Application Specialist,72,2
268,Application Specialist,73,3
267,Application Specialist,74,4
262,Assistant to the Chief Financial Officer,56,1
239,Benefits Specialist,51,1
255,Buyer,52,1
258,Buyer,53,2
257,Buyer,54,3
259,Buyer,55,4
253,Buyer,56,5
254,Buyer,57,6
256,Buyer,58,7
251,Buyer,59,8
252,Buyer,60,9
1,Chief Executive Officer,99,1
234,Chief Financial Officer,0,1
221,Control Specialist,75,1
218,Control Specialist,76,2
271,Database Administrator,66,1
270,Database Administrator,67,2
15,Design Engineer,4,1
5,Design Engineer,5,2
6,Design Engineer,6,3
219,Document Control Assistant,78,1
220,Document Control Assistant,79,2
217,Document Control Manager,77,1
3,Engineering Manager,2,1
287,European Sales Manager,21,1
233,Facilities Administrative Assistant,87,1
227,Facilities Manager,86,1
249,Finance Manager,55,1
237,Human Resources Administrative Assistant,52,1
236,Human Resources Administrative Assistant,53,2
235,Human Resources Manager,54,1
263,Information Services Manager,65,1
230,Janitor,88,1
232,Janitor,89,2
229,Janitor,90,3
231,Janitor,91,4
228,Maintenance Supervisor,92,1
20,Marketing Assistant,41,1
17,Marketing Assistant,42,2
19,Marketing Assistant,43,3
16,Marketing Manager,40,1
21,Marketing Specialist,44,1
22,Marketing Specialist,45,2
23,Marketing Specialist,46,3
24,Marketing Specialist,47,4
18,Marketing Specialist,48,5
222,Master Scheduler,44,1
266,Network Administrator,69,1
265,Network Administrator,70,2
264,Network Manager,68,1
274,North American Sales Manager,14,1
285,Pacific Sales Manager,20,1
26,Production Control Manager,43,1
47,Production Supervisor - WC10,65,1
102,Production Supervisor - WC10,66,2
87,Production Supervisor - WC10,67,3
134,Production Supervisor - WC20,40,1
