businessentityid,quotadate,salesquota,prev_quota,quota_difference
277,2022-05-30,565000.0000,,
277,2022-08-30,872000.0000,565000.0000,307000.0000
277,2022-11-30,846000.0000,872000.0000,-26000.0000
277,2023-02-28,952000.0000,846000.0000,106000.0000
277,2023-05-30,1600000.0000,952000.0000,648000.0000
277,2023-08-30,1352000.0000,1600000.0000,-248000.0000
277,2023-11-30,839000.0000,1352000.0000,-513000.0000
277,2024-02-28,1369000.0000,839000.0000,530000.0000
277,2024-05-29,1171000.0000,1369000.0000,-198000.0000
277,2024-08-29,971000.0000,1171000.0000,-200000.0000
277,2024-11-29,714000.0000,971000.0000,-257000.0000
277,2025-02-28,947000.0000,714000.0000,233000.0000
