productmodelid,model_name,product_count,max_list_price,avg_list_price,ratio
8,LL Mountain Frame,10,264.0500,256.92,1.03
23,Mountain-500,10,564.9900,552.49,1.02
15,ML Mountain Frame-W,5,364.0900,361.02,1.01
5,HL Mountain Frame,10,1364.5000,1357.05,1.01
20,Mountain-200,6,2319.9900,2307.49,1.01
52,LL Mountain Handlebars,1,44.5400,44.54,1.00
80,ML Mountain Seat/Saddle 2,1,39.1400,39.14,1.00
68,LL Road Pedal,1,40.4900,40.49,1.00
69,ML Road Pedal,1,62.0900,62.09,1.00
101,HL Crankset,1,404.9900,404.99,1.00
114,Patch kit,1,2.2900,2.29,1.00
115,Cable Lock,1,25.0000,25.00,1.00
60,ML Headset,1,102.2900,102.29,1.00
97,HL Bottom Bracket,1,121.4900,121.49,1.00
70,HL Road Pedal,1,80.9900,80.99,1.00
59,LL Headset,1,34.2000,34.20,1.00
22,Mountain-400-W,4,769.4900,769.49,1.00
92,Mountain Tire Tube,1,4.9900,4.99,1.00
65,ML Touring Seat/Saddle,1,39.1400,39.14,1.00
108,Taillight,1,13.9900,13.99,1.00
