column_name,data_type
id,integer
id,integer
businessentityid,integer
businessentityid,integer
emailaddressid,integer
nationalidnumber,character varying
loginid,character varying
emailaddress,character varying
rowguid,uuid
jobtitle,character varying
birthdate,date
modifieddate,timestamp without time zone
maritalstatus,character
gender,character
hiredate,date
salariedflag,boolean
vacationhours,smallint
sickleavehours,smallint
currentflag,boolean
rowguid,uuid
modifieddate,timestamp without time zone
organizationnode,character varying
