name,jobtitle,grouping level,employee count
Finance,Accountant,Executive General and Administration,2
Finance,Accountant,,2
Finance,Accounts Manager,,1
Finance,Accounts Manager,Executive General and Administration,1
Finance,Accounts Payable Specialist,Executive General and Administration,2
Finance,Accounts Payable Specialist,,2
Finance,Accounts Receivable Specialist,,3
Finance,Accounts Receivable Specialist,Executive General and Administration,3
Finance,Assistant to the Chief Financial Officer,,1
Finance,Assistant to the Chief Financial Officer,Executive General and Administration,1
Finance,Finance Manager,,1
Finance,Finance Manager,Executive General and Administration,1
Finance,,,10
Production Control,Master Scheduler,,1
Production Control,Master Scheduler,Manufacturing,1
Production Control,Production Control Manager,,1
Production Control,Production Control Manager,Manufacturing,1
Production Control,Scheduling Assistant,,4
Production Control,Scheduling Assistant,Manufacturing,4
Production Control,,,6
