table_name,table_schema
department,humanresources
employee,humanresources
employeedepartmenthistory,humanresources
employeepayhistory,humanresources
jobcandidate,humanresources
shift,humanresources
address,person
addresstype,person
businessentity,person
businessentityaddress,person
businessentitycontact,person
contacttype,person
countryregion,person
emailaddress,person
password,person
person,person
personphone,person
phonenumbertype,person
stateprovince,person
billofmaterials,production
culture,production
document,production
illustration,production
location,production
product,production
productcategory,production
productcosthistory,production
productdescription,production
productdocument,production
productinventory,production
productlistpricehistory,production
productmodel,production
productmodelillustration,production
productmodelproductdescriptionculture,production
productphoto,production
productproductphoto,production
productreview,production
productsubcategory,production
scrapreason,production
transactionhistory,production
transactionhistoryarchive,production
unitmeasure,production
workorder,production
workorderrouting,production
productvendor,purchasing
purchaseorderdetail,purchasing
purchaseorderheader,purchasing
shipmethod,purchasing
vendor,purchasing
countryregioncurrency,sales
creditcard,sales
currency,sales
currencyrate,sales
customer,sales
personcreditcard,sales
salesorderdetail,sales
salesorderheader,sales
salesorderheadersalesreason,sales
salesperson,sales
salespersonquotahistory,sales
salesreason,sales
salestaxrate,sales
salesterritory,sales
salesterritoryhistory,sales
shoppingcartitem,sales
specialoffer,sales
specialofferproduct,sales
store,sales
