businessentityid,hiredate,rn
1,2009-01-14,1
2,2008-01-31,1
3,2007-11-11,1
4,2007-12-05,1
5,2008-01-06,1
6,2008-01-24,1
7,2009-02-08,1
8,2008-12-29,1
9,2009-01-16,1
10,2009-05-03,1
11,2010-12-05,1
12,2007-12-11,1
13,2010-12-23,1
14,2010-12-30,1
15,2011-01-18,1
16,2007-12-20,1
17,2007-01-26,1
18,2011-02-07,1
19,2011-02-14,1
20,2011-01-07,1
21,2009-03-02,1
22,2008-12-12,1
23,2009-01-12,1
24,2009-01-18,1
25,2009-02-03,1
26,2008-12-01,1
27,2008-02-27,1
28,2006-06-30,1
29,2009-01-23,1
30,2009-01-29,1
31,2009-01-04,1
32,2008-12-29,1
33,2008-12-17,1
34,2009-02-16,1
35,2009-02-08,1
36,2009-02-10,1
37,2009-03-07,1
38,2010-01-16,1
39,2010-02-05,1
40,2007-12-26,1
41,2009-01-21,1
42,2008-12-27,1
43,2009-01-02,1
44,2008-12-08,1
45,2009-02-26,1
46,2009-02-08,1
47,2009-02-22,1
48,2008-01-06,1
49,2008-01-07,1
50,2008-02-02,1
51,2008-02-20,1
52,2008-03-10,1
53,2008-03-28,1
54,2010-01-01,1
55,2008-02-08,1
56,2009-02-05,1
57,2009-02-23,1
58,2008-12-05,1
59,2008-12-24,1
60,2009-01-11,1
61,2009-01-18,1
62,2008-03-17,1
63,2010-01-29,1
64,2010-02-23,1
65,2010-02-23,1
66,2009-12-22,1
67,2009-03-05,1
68,2009-12-03,1
69,2009-02-15,1
70,2008-12-15,1
71,2009-02-15,1
72,2008-12-01,1
73,2008-12-19,1
74,2009-01-07,1
75,2009-01-26,1
76,2009-02-12,1
77,2009-03-03,1
78,2008-12-15,1
79,2010-01-24,1
80,2010-01-17,1
81,2009-12-29,1
82,2010-03-03,1
83,2010-02-12,1
84,2010-02-05,1
85,2009-12-11,1
86,2009-01-05,1
87,2008-12-22,1
88,2009-12-18,1
89,2010-02-01,1
90,2010-02-20,1
91,2010-01-12,1
92,2010-03-10,1
93,2008-12-27,1
94,2008-12-12,1
95,2008-12-19,1
96,2009-03-02,1
