businessentityid,territoryid,salesquota,bonus,commissionpct,salesytd,saleslastyear,rowguid,modifieddate
274,,,0.0000,0.0000,559697.5639,0.0000,48754992-9ee0-4c0e-8c94-9451604e3e02,2021-12-27
275,2.0,300000.0000,4100.0000,0.0120,3763178.1787,1750406.4785,1e0a7274-3064-4f58-88ee-4c6586c87169,2022-05-23
276,4.0,250000.0000,2000.0000,0.0150,4251368.5497,1439156.0291,4dd9eee4-8e81-4f8c-af97-683394c1f7c0,2022-05-23
277,3.0,250000.0000,2500.0000,0.0150,3189418.3662,1997186.2037,39012928-bfec-4242-874d-423162c3f567,2022-05-23
278,6.0,250000.0000,500.0000,0.0100,1453719.4653,1620276.8966,7a0ae1ab-b283-40f9-91d1-167abf06d720,2022-05-23
279,5.0,300000.0000,6700.0000,0.0100,2315185.6110,1849640.9418,52a5179d-3239-4157-ae29-17e868296dc0,2022-05-23
280,1.0,250000.0000,5000.0000,0.0100,1352577.1325,1927059.1780,be941a4a-fb50-4947-bda4-bb8972365b08,2022-05-23
281,4.0,250000.0000,3550.0000,0.0100,2458535.6169,2073505.9999,35326ddb-7278-4fef-b3ba-ea137b69094e,2022-05-23
282,6.0,250000.0000,5000.0000,0.0150,2604540.7172,2038234.6549,31fd7fc1-dc84-4f05-b9a0-762519eacacc,2022-05-23
283,1.0,250000.0000,3500.0000,0.0120,1573012.9383,1371635.3158,6bac15b2-8ffb-45a9-b6d5-040e16c2073f,2022-05-23
