column_name,data_type,table_name,table_schema
businessentityid,integer,employee,humanresources
nationalidnumber,character varying,employee,humanresources
loginid,character varying,employee,humanresources
jobtitle,character varying,employee,humanresources
birthdate,date,employee,humanresources
maritalstatus,character,employee,humanresources
gender,character,employee,humanresources
hiredate,date,employee,humanresources
salariedflag,boolean,employee,humanresources
vacationhours,smallint,employee,humanresources
sickleavehours,smallint,employee,humanresources
currentflag,boolean,employee,humanresources
rowguid,uuid,employee,humanresources
modifieddate,timestamp without time zone,employee,humanresources
organizationnode,character varying,employee,humanresources
businessentityid,integer,employeenameview,humanresources
lastname,text,employeenameview,humanresources
businessentityid,integer,vemployee,humanresources
title,character varying,vemployee,humanresources
firstname,character varying,vemployee,humanresources
middlename,character varying,vemployee,humanresources
lastname,character varying,vemployee,humanresources
suffix,character varying,vemployee,humanresources
jobtitle,character varying,vemployee,humanresources
phonenumber,character varying,vemployee,humanresources
phonenumbertype,character varying,vemployee,humanresources
emailaddress,character varying,vemployee,humanresources
emailpromotion,integer,vemployee,humanresources
addressline1,character varying,vemployee,humanresources
addressline2,character varying,vemployee,humanresources
city,character varying,vemployee,humanresources
stateprovincename,character varying,vemployee,humanresources
postalcode,character varying,vemployee,humanresources
countryregionname,character varying,vemployee,humanresources
additionalcontactinfo,xml,vemployee,humanresources
countryregioncode,character varying,countryregioncurrency,sales
currencycode,character,countryregioncurrency,sales
modifieddate,timestamp without time zone,countryregioncurrency,sales
creditcardid,integer,creditcard,sales
cardtype,character varying,creditcard,sales
cardnumber,character varying,creditcard,sales
expmonth,smallint,creditcard,sales
expyear,smallint,creditcard,sales
modifieddate,timestamp without time zone,creditcard,sales
currencycode,character,currency,sales
name,character varying,currency,sales
modifieddate,timestamp without time zone,currency,sales
currencyrateid,integer,currencyrate,sales
currencyratedate,timestamp without time zone,currencyrate,sales
fromcurrencycode,character,currencyrate,sales
tocurrencycode,character,currencyrate,sales
averagerate,numeric,currencyrate,sales
endofdayrate,numeric,currencyrate,sales
modifieddate,timestamp without time zone,currencyrate,sales
customerid,integer,customer,sales
personid,integer,customer,sales
storeid,integer,customer,sales
territoryid,integer,customer,sales
rowguid,uuid,customer,sales
modifieddate,timestamp without time zone,customer,sales
businessentityid,integer,personcreditcard,sales
creditcardid,integer,personcreditcard,sales
modifieddate,timestamp without time zone,personcreditcard,sales
salesorderid,integer,salesorderdetail,sales
salesorderdetailid,integer,salesorderdetail,sales
carriertrackingnumber,character varying,salesorderdetail,sales
orderqty,smallint,salesorderdetail,sales
productid,integer,salesorderdetail,sales
specialofferid,integer,salesorderdetail,sales
unitprice,numeric,salesorderdetail,sales
unitpricediscount,numeric,salesorderdetail,sales
rowguid,uuid,salesorderdetail,sales
modifieddate,timestamp without time zone,salesorderdetail,sales
salesorderid,integer,salesorderheader,sales
revisionnumber,smallint,salesorderheader,sales
orderdate,timestamp without time zone,salesorderheader,sales
duedate,timestamp without time zone,salesorderheader,sales
shipdate,timestamp without time zone,salesorderheader,sales
status,smallint,salesorderheader,sales
onlineorderflag,boolean,salesorderheader,sales
purchaseordernumber,character varying,salesorderheader,sales
accountnumber,character varying,salesorderheader,sales
customerid,integer,salesorderheader,sales
salespersonid,integer,salesorderheader,sales
territoryid,integer,salesorderheader,sales
billtoaddressid,integer,salesorderheader,sales
shiptoaddressid,integer,salesorderheader,sales
shipmethodid,integer,salesorderheader,sales
creditcardid,integer,salesorderheader,sales
creditcardapprovalcode,character varying,salesorderheader,sales
currencyrateid,integer,salesorderheader,sales
subtotal,numeric,salesorderheader,sales
taxamt,numeric,salesorderheader,sales
freight,numeric,salesorderheader,sales
totaldue,numeric,salesorderheader,sales
comment,character varying,salesorderheader,sales
rowguid,uuid,salesorderheader,sales
modifieddate,timestamp without time zone,salesorderheader,sales
salesorderid,integer,salesorderheadersalesreason,sales
salesreasonid,integer,salesorderheadersalesreason,sales
modifieddate,timestamp without time zone,salesorderheadersalesreason,sales
businessentityid,integer,salesperson,sales
territoryid,integer,salesperson,sales
salesquota,numeric,salesperson,sales
bonus,numeric,salesperson,sales
commissionpct,numeric,salesperson,sales
salesytd,numeric,salesperson,sales
saleslastyear,numeric,salesperson,sales
rowguid,uuid,salesperson,sales
modifieddate,timestamp without time zone,salesperson,sales
businessentityid,integer,salespersonquotahistory,sales
quotadate,timestamp without time zone,salespersonquotahistory,sales
salesquota,numeric,salespersonquotahistory,sales
rowguid,uuid,salespersonquotahistory,sales
modifieddate,timestamp without time zone,salespersonquotahistory,sales
salesreasonid,integer,salesreason,sales
name,character varying,salesreason,sales
reasontype,character varying,salesreason,sales
modifieddate,timestamp without time zone,salesreason,sales
salestaxrateid,integer,salestaxrate,sales
stateprovinceid,integer,salestaxrate,sales
taxtype,smallint,salestaxrate,sales
taxrate,numeric,salestaxrate,sales
name,character varying,salestaxrate,sales
rowguid,uuid,salestaxrate,sales
modifieddate,timestamp without time zone,salestaxrate,sales
territoryid,integer,salesterritory,sales
name,character varying,salesterritory,sales
countryregioncode,character varying,salesterritory,sales
group,character varying,salesterritory,sales
salesytd,numeric,salesterritory,sales
saleslastyear,numeric,salesterritory,sales
costytd,numeric,salesterritory,sales
costlastyear,numeric,salesterritory,sales
rowguid,uuid,salesterritory,sales
modifieddate,timestamp without time zone,salesterritory,sales
businessentityid,integer,salesterritoryhistory,sales
territoryid,integer,salesterritoryhistory,sales
startdate,timestamp without time zone,salesterritoryhistory,sales
enddate,timestamp without time zone,salesterritoryhistory,sales
rowguid,uuid,salesterritoryhistory,sales
modifieddate,timestamp without time zone,salesterritoryhistory,sales
shoppingcartitemid,integer,shoppingcartitem,sales
shoppingcartid,character varying,shoppingcartitem,sales
quantity,integer,shoppingcartitem,sales
productid,integer,shoppingcartitem,sales
datecreated,timestamp without time zone,shoppingcartitem,sales
modifieddate,timestamp without time zone,shoppingcartitem,sales
specialofferid,integer,specialoffer,sales
description,character varying,specialoffer,sales
discountpct,numeric,specialoffer,sales
type,character varying,specialoffer,sales
category,character varying,specialoffer,sales
startdate,timestamp without time zone,specialoffer,sales
enddate,timestamp without time zone,specialoffer,sales
minqty,integer,specialoffer,sales
maxqty,integer,specialoffer,sales
rowguid,uuid,specialoffer,sales
modifieddate,timestamp without time zone,specialoffer,sales
specialofferid,integer,specialofferproduct,sales
productid,integer,specialofferproduct,sales
rowguid,uuid,specialofferproduct,sales
modifieddate,timestamp without time zone,specialofferproduct,sales
businessentityid,integer,store,sales
name,character varying,store,sales
salespersonid,integer,store,sales
demographics,xml,store,sales
rowguid,uuid,store,sales
modifieddate,timestamp without time zone,store,sales
businessentityid,integer,vindividualcustomer,sales
title,character varying,vindividualcustomer,sales
firstname,character varying,vindividualcustomer,sales
middlename,character varying,vindividualcustomer,sales
lastname,character varying,vindividualcustomer,sales
suffix,character varying,vindividualcustomer,sales
phonenumber,character varying,vindividualcustomer,sales
phonenumbertype,character varying,vindividualcustomer,sales
emailaddress,character varying,vindividualcustomer,sales
emailpromotion,integer,vindividualcustomer,sales
addresstype,character varying,vindividualcustomer,sales
addressline1,character varying,vindividualcustomer,sales
addressline2,character varying,vindividualcustomer,sales
city,character varying,vindividualcustomer,sales
stateprovincename,character varying,vindividualcustomer,sales
postalcode,character varying,vindividualcustomer,sales
countryregionname,character varying,vindividualcustomer,sales
demographics,xml,vindividualcustomer,sales
businessentityid,integer,vpersondemographics,sales
totalpurchaseytd,money,vpersondemographics,sales
datefirstpurchase,date,vpersondemographics,sales
birthdate,date,vpersondemographics,sales
maritalstatus,character varying,vpersondemographics,sales
yearlyincome,character varying,vpersondemographics,sales
gender,character varying,vpersondemographics,sales
totalchildren,integer,vpersondemographics,sales
