businessentityid,salesytd,current_date,newdate
274,559697.5639,2026-04-26,2026-04-28
275,3763178.1787,2026-04-26,2026-04-28
276,4251368.5497,2026-04-26,2026-04-28
277,3189418.3662,2026-04-26,2026-04-28
278,1453719.4653,2026-04-26,2026-04-28
279,2315185.6110,2026-04-26,2026-04-28
280,1352577.1325,2026-04-26,2026-04-28
281,2458535.6169,2026-04-26,2026-04-28
282,2604540.7172,2026-04-26,2026-04-28
283,1573012.9383,2026-04-26,2026-04-28
284,1576562.1966,2026-04-26,2026-04-28
285,172524.4512,2026-04-26,2026-04-28
286,1421810.9242,2026-04-26,2026-04-28
287,519905.9320,2026-04-26,2026-04-28
288,1827066.7118,2026-04-26,2026-04-28
289,4116871.2277,2026-04-26,2026-04-28
290,3121616.3202,2026-04-26,2026-04-28
