schemaname,tablename,tableowner,tablespace,hasindexes,hasrules,hastriggers,rowsecurity
person,address,querymind,,True,False,True,False
person,stateprovince,querymind,,True,False,True,False
person,businessentityaddress,querymind,,True,False,True,False
person,addresstype,querymind,,True,False,True,False
person,businessentity,querymind,,True,False,True,False
person,person,querymind,,True,False,True,False
person,businessentitycontact,querymind,,True,False,True,False
person,contacttype,querymind,,True,False,True,False
person,emailaddress,querymind,,True,False,True,False
person,password,querymind,,True,False,True,False
person,phonenumbertype,querymind,,True,False,True,False
person,countryregion,querymind,,True,False,True,False
humanresources,employee,querymind,,True,False,True,False
humanresources,department,querymind,,True,False,True,False
humanresources,employeedepartmenthistory,querymind,,True,False,True,False
person,personphone,querymind,,True,False,True,False
humanresources,employeepayhistory,querymind,,True,False,True,False
humanresources,jobcandidate,querymind,,True,False,True,False
production,document,querymind,,True,False,True,False
production,billofmaterials,querymind,,True,False,True,False
humanresources,shift,querymind,,True,False,True,False
production,productsubcategory,querymind,,True,False,True,False
production,culture,querymind,,True,False,True,False
production,productcategory,querymind,,True,False,True,False
production,productdescription,querymind,,True,False,False,False
production,productmodel,querymind,,True,False,False,False
production,product,querymind,,True,False,True,False
production,productcosthistory,querymind,,True,False,True,False
production,productdocument,querymind,,True,False,True,False
production,location,querymind,,True,False,True,False
production,productinventory,querymind,,True,False,True,False
production,illustration,querymind,,True,False,False,False
production,productphoto,querymind,,True,False,False,False
production,productmodelproductdescriptionculture,querymind,,True,False,True,False
production,productmodelillustration,querymind,,True,False,False,False
production,productproductphoto,querymind,,True,False,True,False
production,productreview,querymind,,True,False,True,False
production,unitmeasure,querymind,,True,False,True,False
purchasing,purchaseorderheader,querymind,,True,False,True,False
production,transactionhistoryarchive,querymind,,True,False,False,False
purchasing,productvendor,querymind,,True,False,True,False
purchasing,purchaseorderdetail,querymind,,True,False,True,False
purchasing,shipmethod,querymind,,True,False,True,False
production,transactionhistory,querymind,,True,False,True,False
production,workorder,querymind,,True,False,True,False
production,scrapreason,querymind,,True,False,True,False
production,workorderrouting,querymind,,True,False,True,False
sales,countryregioncurrency,querymind,,True,False,True,False
sales,currency,querymind,,True,False,True,False
sales,currencyrate,querymind,,True,False,True,False
sales,salespersonquotahistory,querymind,,True,False,True,False
sales,creditcard,querymind,,True,False,True,False
sales,customer,querymind,,True,False,True,False
sales,personcreditcard,querymind,,True,False,True,False
purchasing,vendor,querymind,,True,False,True,False
sales,salesorderheader,querymind,,True,False,True,False
sales,salesorderdetail,querymind,,True,False,True,False
sales,salesperson,querymind,,True,False,True,False
sales,salesorderheadersalesreason,querymind,,True,False,True,False
sales,store,querymind,,True,False,True,False
sales,salesterritory,querymind,,True,False,True,False
sales,salestaxrate,querymind,,True,False,True,False
sales,specialofferproduct,querymind,,True,False,True,False
sales,salesreason,querymind,,True,False,True,False
sales,salesterritoryhistory,querymind,,True,False,True,False
sales,shoppingcartitem,querymind,,True,False,True,False
sales,specialoffer,querymind,,True,False,True,False
production,productlistpricehistory,querymind,,True,False,True,False
