table_catalog,table_schema,table_name,table_type
adventureworks,humanresources,department,BASE TABLE
adventureworks,humanresources,employee,BASE TABLE
adventureworks,humanresources,employeedepartmenthistory,BASE TABLE
adventureworks,humanresources,employeepayhistory,BASE TABLE
adventureworks,humanresources,jobcandidate,BASE TABLE
adventureworks,humanresources,shift,BASE TABLE
adventureworks,information_schema,sql_features,BASE TABLE
adventureworks,information_schema,sql_implementation_info,BASE TABLE
adventureworks,information_schema,sql_parts,BASE TABLE
adventureworks,information_schema,sql_sizing,BASE TABLE
adventureworks,person,address,BASE TABLE
adventureworks,person,addresstype,BASE TABLE
adventureworks,person,businessentity,BASE TABLE
adventureworks,person,businessentityaddress,BASE TABLE
adventureworks,person,businessentitycontact,BASE TABLE
adventureworks,person,contacttype,BASE TABLE
adventureworks,person,countryregion,BASE TABLE
adventureworks,person,emailaddress,BASE TABLE
adventureworks,person,password,BASE TABLE
adventureworks,person,person,BASE TABLE
adventureworks,person,personphone,BASE TABLE
adventureworks,person,phonenumbertype,BASE TABLE
adventureworks,person,stateprovince,BASE TABLE
adventureworks,pg_catalog,pg_aggregate,BASE TABLE
adventureworks,pg_catalog,pg_am,BASE TABLE
adventureworks,pg_catalog,pg_amop,BASE TABLE
adventureworks,pg_catalog,pg_amproc,BASE TABLE
adventureworks,pg_catalog,pg_attrdef,BASE TABLE
adventureworks,pg_catalog,pg_attribute,BASE TABLE
adventureworks,pg_catalog,pg_auth_members,BASE TABLE
adventureworks,pg_catalog,pg_authid,BASE TABLE
adventureworks,pg_catalog,pg_cast,BASE TABLE
adventureworks,pg_catalog,pg_class,BASE TABLE
adventureworks,pg_catalog,pg_collation,BASE TABLE
adventureworks,pg_catalog,pg_constraint,BASE TABLE
adventureworks,pg_catalog,pg_conversion,BASE TABLE
adventureworks,pg_catalog,pg_database,BASE TABLE
adventureworks,pg_catalog,pg_db_role_setting,BASE TABLE
adventureworks,pg_catalog,pg_default_acl,BASE TABLE
adventureworks,pg_catalog,pg_depend,BASE TABLE
adventureworks,pg_catalog,pg_description,BASE TABLE
adventureworks,pg_catalog,pg_enum,BASE TABLE
adventureworks,pg_catalog,pg_event_trigger,BASE TABLE
adventureworks,pg_catalog,pg_extension,BASE TABLE
adventureworks,pg_catalog,pg_foreign_data_wrapper,BASE TABLE
adventureworks,pg_catalog,pg_foreign_server,BASE TABLE
adventureworks,pg_catalog,pg_foreign_table,BASE TABLE
adventureworks,pg_catalog,pg_index,BASE TABLE
adventureworks,pg_catalog,pg_inherits,BASE TABLE
adventureworks,pg_catalog,pg_init_privs,BASE TABLE
adventureworks,pg_catalog,pg_language,BASE TABLE
adventureworks,pg_catalog,pg_largeobject,BASE TABLE
adventureworks,pg_catalog,pg_largeobject_metadata,BASE TABLE
adventureworks,pg_catalog,pg_namespace,BASE TABLE
