table_schema,table_name
production,document
production,billofmaterials
production,productsubcategory
production,culture
production,productcategory
production,productdescription
production,productmodel
production,product
production,productcosthistory
production,productdocument
production,location
production,productinventory
production,illustration
production,productphoto
production,productmodelproductdescriptionculture
production,productmodelillustration
production,productproductphoto
production,productreview
production,unitmeasure
production,transactionhistoryarchive
production,transactionhistory
production,workorder
production,scrapreason
production,workorderrouting
production,productlistpricehistory
production,vproductmodelcatalogdescription
production,vproductmodelinstructions
