table_schema,table_name,table_type
production,product,BASE TABLE
production,productcategory,BASE TABLE
production,productcosthistory,BASE TABLE
production,productdescription,BASE TABLE
production,productdocument,BASE TABLE
production,productinventory,BASE TABLE
production,productlistpricehistory,BASE TABLE
production,productmodel,BASE TABLE
production,productmodelillustration,BASE TABLE
production,productmodelproductdescriptionculture,BASE TABLE
production,productphoto,BASE TABLE
production,productproductphoto,BASE TABLE
production,productreview,BASE TABLE
production,productsubcategory,BASE TABLE
production,vproductmodelcatalogdescription,VIEW
production,vproductmodelinstructions,VIEW
purchasing,productvendor,BASE TABLE
sales,specialofferproduct,BASE TABLE
