businessentityid,quarter,salesyear,salesquota,first_quarter_quota,last_quarter_quota
274,2,2022,28000.0000,28000.0000,91000.0000
274,3,2022,7000.0000,28000.0000,91000.0000
274,4,2022,91000.0000,28000.0000,91000.0000
274,1,2023,140000.0000,140000.0000,107000.0000
274,2,2023,70000.0000,140000.0000,107000.0000
274,3,2023,154000.0000,140000.0000,107000.0000
274,4,2023,107000.0000,140000.0000,107000.0000
274,1,2024,58000.0000,58000.0000,84000.0000
274,2,2024,263000.0000,58000.0000,84000.0000
274,3,2024,116000.0000,58000.0000,84000.0000
274,4,2024,84000.0000,58000.0000,84000.0000
274,1,2025,187000.0000,187000.0000,187000.0000
275,2,2022,367000.0000,367000.0000,502000.0000
275,3,2022,556000.0000,367000.0000,502000.0000
275,4,2022,502000.0000,367000.0000,502000.0000
275,1,2023,550000.0000,550000.0000,729000.0000
275,2,2023,1429000.0000,550000.0000,729000.0000
275,3,2023,1324000.0000,550000.0000,729000.0000
275,4,2023,729000.0000,550000.0000,729000.0000
275,1,2024,1194000.0000,1194000.0000,849000.0000
275,2,2024,1575000.0000,1194000.0000,849000.0000
275,3,2024,1218000.0000,1194000.0000,849000.0000
275,4,2024,849000.0000,1194000.0000,849000.0000
275,1,2025,869000.0000,869000.0000,869000.0000
