column_name,data_type,is_nullable
departmentid,integer,NO
name,character varying,NO
groupname,character varying,NO
modifieddate,timestamp without time zone,NO
businessentityid,integer,NO
nationalidnumber,character varying,NO
loginid,character varying,NO
jobtitle,character varying,NO
birthdate,date,NO
maritalstatus,character,NO
gender,character,NO
hiredate,date,NO
salariedflag,boolean,NO
vacationhours,smallint,NO
sickleavehours,smallint,NO
currentflag,boolean,NO
rowguid,uuid,NO
modifieddate,timestamp without time zone,NO
organizationnode,character varying,YES
businessentityid,integer,NO
ratechangedate,timestamp without time zone,NO
rate,numeric,NO
payfrequency,smallint,NO
modifieddate,timestamp without time zone,NO
