businessentityid,departmentid,shiftid,startdate,enddate,modifieddate
217,12,1,2009-01-04,,2009-01-03
218,12,3,2008-12-16,,2008-12-15
219,12,1,2009-01-22,,2009-01-21
220,12,1,2009-02-09,,2009-02-08
221,12,2,2009-03-06,,2009-03-05
263,11,1,2008-12-11,,2008-12-10
264,11,1,2009-02-04,,2009-02-03
265,11,2,2008-12-04,,2008-12-03
266,11,1,2009-02-23,,2009-02-22
267,11,1,2009-02-16,,2009-02-15
268,11,1,2009-02-03,,2009-02-02
269,11,1,2009-01-11,,2009-01-10
270,11,1,2009-01-17,,2009-01-16
271,11,1,2009-01-22,,2009-01-21
272,11,1,2008-12-23,,2008-12-22
