productmodelid,product_model_name,distinct_prices,max_list_price,min_list_price,avg_list_price,max_to_avg_ratio
5,HL Mountain Frame,6,1364.5000,1191.1739,1279.96,1.07
6,HL Road Frame,3,1431.5000,1263.4598,1344.05,1.07
30,Road-650,2,782.9900,699.0982,741.04,1.06
9,LL Road Frame,3,337.2200,297.6346,317.04,1.06
20,Mountain-200,4,2319.9900,2049.0982,2183.87,1.06
29,Road-550-W,2,1120.4900,1000.4375,1060.46,1.06
52,LL Mountain Handlebars,2,44.5400,40.4909,42.52,1.05
57,ML Road Handlebars,2,61.9200,56.2909,59.11,1.05
17,ML Road Frame-W,2,594.8300,540.7545,567.79,1.05
56,LL Road Handlebars,2,44.5400,40.4909,42.52,1.05
55,HL Mountain Handlebars,2,120.2700,109.3364,114.80,1.05
54,ML Mountain Handlebars,2,61.9200,56.2909,59.11,1.05
58,HL Road Handlebars,2,120.2700,109.3364,114.80,1.05
26,Road-250,2,2443.3500,2181.5625,2342.66,1.04
2,Cycling Cap,2,8.9900,8.6442,8.76,1.03
8,LL Mountain Frame,2,264.0500,249.7900,256.92,1.03
11,Long-Sleeve Logo Jersey,2,49.9900,48.0673,48.71,1.03
33,Sport-100,2,34.9900,33.6442,34.09,1.03
23,Mountain-500,2,564.9900,539.9900,552.49,1.02
4,Half-Finger Gloves,2,24.4900,23.5481,24.02,1.02
