city,countryregioncode
Albany,US
Altadena,US
Anacortes,US
Atlanta,US
Ballard,US
Beaverton,US
Bellevue,US
Bellingham,US
Berkeley,US
Boise,US
Boston,US
Bremerton,US
Burbank,US
Burien,US
Burlingame,US
Chicago,US
Chula Vista,US
Concord,US
Coronado,US
Corvallis,US
Dallas,US
Daly City,US
Denver,US
Detroit,US
Downey,US
Everett,US
Glendale,US
Houston,US
Imperial Beach,US
Issaquah,US
Kirkland,US
La Mesa,US
Lake Oswego,US
Lakewood,US
Lebanon,US
Lemon Grove,US
Long Beach,US
Los Angeles,US
Lynnwood,US
Mill Valley,US
Missoula,US
New York,US
Newport Beach,US
Novato,US
Oakland,US
Olympia,US
Palo Alto,US
Philadelphia,US
Phoenix,US
Port Orchard,US
Portland,US
Richmond,US
Salem,US
Salt Lake City,US
San Francisco,US
Santa Cruz,US
Sedro Woolley,US
Spokane,US
Spring Valley,US
St. Louis,US
Tacoma,US
Torrance,US
W. Linn,US
Walla Walla,US
West Covina,US
Woodburn,US
