table_catalog,table_schema,table_name
adventureworks,humanresources,department
adventureworks,humanresources,employee
adventureworks,humanresources,employeedepartmenthistory
adventureworks,humanresources,employeepayhistory
adventureworks,humanresources,jobcandidate
adventureworks,humanresources,shift
adventureworks,person,address
adventureworks,person,addresstype
adventureworks,person,businessentity
adventureworks,person,businessentityaddress
adventureworks,person,businessentitycontact
adventureworks,person,contacttype
adventureworks,person,countryregion
adventureworks,person,emailaddress
adventureworks,person,password
adventureworks,person,person
adventureworks,person,personphone
adventureworks,person,phonenumbertype
adventureworks,person,stateprovince
adventureworks,production,billofmaterials
adventureworks,production,culture
adventureworks,production,document
adventureworks,production,illustration
adventureworks,production,location
adventureworks,production,product
adventureworks,production,productcategory
adventureworks,production,productcosthistory
adventureworks,production,productdescription
adventureworks,production,productdocument
adventureworks,production,productinventory
adventureworks,production,productlistpricehistory
adventureworks,production,productmodel
adventureworks,production,productmodelillustration
adventureworks,production,productmodelproductdescriptionculture
adventureworks,production,productphoto
adventureworks,production,productproductphoto
adventureworks,production,productreview
adventureworks,production,productsubcategory
adventureworks,production,scrapreason
adventureworks,production,transactionhistory
adventureworks,production,transactionhistoryarchive
adventureworks,production,unitmeasure
adventureworks,production,workorder
adventureworks,production,workorderrouting
adventureworks,purchasing,productvendor
adventureworks,purchasing,purchaseorderdetail
adventureworks,purchasing,purchaseorderheader
adventureworks,purchasing,shipmethod
adventureworks,purchasing,vendor
adventureworks,sales,countryregioncurrency
adventureworks,sales,creditcard
adventureworks,sales,currency
adventureworks,sales,currencyrate
adventureworks,sales,customer
adventureworks,sales,personcreditcard
adventureworks,sales,salesorderdetail
adventureworks,sales,salesorderheader
adventureworks,sales,salesorderheadersalesreason
adventureworks,sales,salesperson
adventureworks,sales,salespersonquotahistory
adventureworks,sales,salesreason
adventureworks,sales,salestaxrate
adventureworks,sales,salesterritory
adventureworks,sales,salesterritoryhistory
adventureworks,sales,shoppingcartitem
adventureworks,sales,specialoffer
adventureworks,sales,specialofferproduct
adventureworks,sales,store
