businessentityid,jobtitle,vacationhours,min_vacation_employee_id,min_vacation_hours
245,Accountant,58,245,58
241,Accounts Manager,57,241,57
246,Accounts Payable Specialist,63,246,63
242,Accounts Receivable Specialist,60,242,60
272,Application Specialist,71,272,71
262,Assistant to the Chief Financial Officer,56,262,56
239,Benefits Specialist,51,239,51
255,Buyer,52,255,52
1,Chief Executive Officer,99,1,99
234,Chief Financial Officer,0,234,0
221,Control Specialist,75,221,75
271,Database Administrator,66,271,66
15,Design Engineer,4,15,4
219,Document Control Assistant,78,219,78
217,Document Control Manager,77,217,77
3,Engineering Manager,2,3,2
287,European Sales Manager,21,287,21
233,Facilities Administrative Assistant,87,233,87
227,Facilities Manager,86,227,86
249,Finance Manager,55,249,55
237,Human Resources Administrative Assistant,52,237,52
235,Human Resources Manager,54,235,54
263,Information Services Manager,65,263,65
230,Janitor,88,230,88
228,Maintenance Supervisor,92,228,92
20,Marketing Assistant,41,20,41
16,Marketing Manager,40,16,40
21,Marketing Specialist,44,21,44
222,Master Scheduler,44,222,44
266,Network Administrator,69,266,69
264,Network Manager,68,264,68
274,North American Sales Manager,14,274,14
285,Pacific Sales Manager,20,285,20
26,Production Control Manager,43,26,43
47,Production Supervisor - WC10,65,47,65
134,Production Supervisor - WC20,40,134,40
166,Production Supervisor - WC30,68,166,68
192,Production Supervisor - WC40,71,192,71
160,Production Supervisor - WC45,74,160,74
108,Production Supervisor - WC50,77,108,77
27,Production Supervisor - WC60,80,27,80
48,Production Technician - WC10,83,48,83
139,Production Technician - WC20,0,139,0
172,Production Technician - WC30,22,172,22
194,Production Technician - WC40,47,194,47
164,Production Technician - WC45,73,164,73
97,Production Technician - WC50,0,97,0
30,Production Technician - WC60,14,30,14
260,Purchasing Assistant,50,260,50
250,Purchasing Manager,49,250,49
211,Quality Assurance Manager,80,211,80
212,Quality Assurance Supervisor,81,212,81
216,Quality Assurance Technician,82,216,82
240,Recruiter,49,240,49
8,Research and Development Engineer,62,8,62
10,Research and Development Manager,16,10,16
280,Sales Representative,22,280,22
224,Scheduling Assistant,45,224,45
14,Senior Design Engineer,3,14,3
11,Senior Tool Designer,7,11,7
125,Shipping and Receiving Clerk,94,125,94
121,Shipping and Receiving Supervisor,93,121,93
126,Stocker,96,126,96
13,Tool Designer,8,13,8
2,Vice President of Engineering,1,2,1
25,Vice President of Production,64,25,64
273,Vice President of Sales,10,273,10
