table_name,table_schema,table_type
department,humanresources,BASE TABLE
employee,humanresources,BASE TABLE
employeedepartmenthistory,humanresources,BASE TABLE
employeenameview,humanresources,VIEW
employeepayhistory,humanresources,BASE TABLE
jobcandidate,humanresources,BASE TABLE
shift,humanresources,BASE TABLE
vemployee,humanresources,VIEW
vemployeedepartment,humanresources,VIEW
vemployeedepartmenthistory,humanresources,VIEW
vjobcandidate,humanresources,VIEW
vjobcandidateeducation,humanresources,VIEW
vjobcandidateemployment,humanresources,VIEW
