customerid,salespersonid,average,sum
30118,277.0,35369.828450000000,70739.6569
30118,275.0,34638.152183333333,207828.9131
30117,275.0,77171.792833333333,463030.7570
30117,277.0,58954.136550000000,353724.8193
30116,276.0,46778.550275000000,187114.2011
30115,289.0,1114.6949250000000000,8917.5594
30114,290.0,1456.6238875000000000,11652.9911
30113,282.0,34148.236350000000,273185.8908
30112,284.0,54909.378542857143,384365.6498
30112,280.0,93591.621700000000,93591.6217
30111,277.0,69131.600775000000,276526.4031
30110,276.0,406.3188750000000000,1625.2755
30109,275.0,59857.260500000000,119714.5210
30109,277.0,36114.523283333333,216687.1397
30108,289.0,36150.645400000000,144602.5816
30107,276.0,48090.797691666667,577089.5723
30106,277.0,14809.779466666667,88858.6768
30106,275.0,6172.4534000000000000,12344.9068
30105,284.0,20957.898814285714,146705.2917
30105,280.0,26523.002700000000,26523.0027
30104,282.0,1549.0503333333333333,4647.1510
30104,287.0,968.4284000000000000,968.4284
30103,290.0,80468.236975000000,643745.8958
30102,282.0,1569.6052750000000000,6278.4211
30101,290.0,36990.948350000000,147963.7934
30100,276.0,22077.704475000000,88310.8179
30099,279.0,1295.9880000000000000,1295.9880
30098,278.0,29.0345000000000000,58.0690
30097,286.0,26690.271950000000,106761.0878
30096,274.0,26305.464300000000,26305.4643
30096,275.0,16649.775200000000,33299.5504
30096,277.0,12019.884000000000,72119.3040
30095,275.0,22399.202250000000,134395.2135
30095,277.0,15670.788733333333,94024.7324
30094,276.0,42367.400012500000,338939.2001
30093,278.0,24591.853900000000,98367.4156
30092,286.0,28771.408800000000,115085.6352
30091,275.0,21237.187500000000,84948.7500
30091,277.0,824.2806750000000000,3297.1227
30090,277.0,20864.277225000000,83457.1089
30089,276.0,1306.8735000000000000,5227.4940
30088,279.0,18174.540275000000,72698.1611
30087,278.0,25557.602975000000,102230.4119
30086,288.0,1172.2815000000000000,4689.1260
30085,277.0,678.6424666666666667,4071.8548
30085,275.0,153.4330500000000000,306.8661
30084,279.0,1036.0954750000000000,8288.7638
30083,289.0,50003.341500000000,200013.3660
30082,288.0,29332.114025000000,117328.4561
30081,277.0,149.8740000000000000,149.8740
30080,283.0,430.5960000000000000,1291.7880
30079,288.0,508.4640000000000000,1525.3920
30078,277.0,1.37400000000000000000,1.3740
30077,279.0,165.2310000000000000,165.2310
30076,281.0,22347.171216666667,268166.0546
30075,279.0,31407.804814285714,219854.6337
30075,274.0,29524.050100000000,29524.0501
30074,289.0,92896.779650000000,371587.1186
30074,282.0,21696.517525000000,86786.0701
30073,290.0,27931.245966666667,83793.7379
30073,287.0,21595.368000000000,21595.3680
30072,282.0,113.3840000000000000,340.1520
30071,284.0,40277.342050000000,161109.3682
30070,280.0,53437.999175000000,213751.9967
30069,281.0,1159.1055000000000000,4636.4220
30068,279.0,340.9520000000000000,1022.8560
30068,274.0,37.2540000000000000,37.2540
30067,289.0,33039.261625000000,264314.0930
30067,282.0,32045.446475000000,128181.7859
30066,287.0,283.9489000000000000,283.9489
30066,288.0,521.0380000000000000,1563.1140
30065,277.0,35148.299550000000,210889.7973
30065,275.0,38968.656250000000,77937.3125
30064,283.0,700.6715666666666667,4204.0294
30063,281.0,26778.832825000000,107115.3313
30062,279.0,355.4820000000000000,1066.4460
30061,275.0,3017.8281000000000000,12071.3124
30060,275.0,45212.146900000000,90424.2938
